equipment_code,date_panne,heures_fonct,duree_rep_h
TR-03,2029-10-04,50473,4.2
TR-04,2025-11-14,16411,4.7
TR-01,2025-07-06,13265,3.8
TR-01,2024-04-13,2480,3.7
TR-02,2024-07-02,4408,4.2
TR-02,2026-11-08,25030,5.1
TR-01,2026-08-14,22963,4.7
TR-02,2025-03-29,10893,4.7
TR-02,2029-02-02,44629,3.9
TR-01,2029-11-11,51385,2.7
TR-01,2024-02-21,1237,4.8
TR-05,2025-01-04,8862,5.4
TR-04,2027-09-23,32669,5.8
TR-02,2028-02-10,36045,4.4
TR-05,2028-09-06,41041,3.4
TR-05,2024-02-05,859,4.5
TR-02,2027-06-28,30583,5.8
TR-03,2027-08-07,31559,4.0
TR-02,2029-08-11,49185,4.9
TR-04,2026-08-17,23032,5.2
TR-02,2026-02-13,18581,4.3
TR-05,2028-06-03,38782,2.8
TR-01,2029-03-22,45772,4.3
TR-02,2026-08-16,23008,5.5
TR-01,2024-09-07,6001,4.7
TR-01,2026-08-20,23110,6.0
TR-04,2024-03-22,1944,5.8
TR-01,2029-05-12,47000,2.7
TR-05,2026-01-24,18115,4.8
TR-02,2025-05-13,11963,3.7
TR-04,2025-06-20,12887,3.8
TR-03,2025-03-27,10841,5.7
TR-02,2026-07-04,21982,2.7
TR-01,2026-06-21,21663,3.1
TR-04,2026-01-01,17546,5.0
TR-03,2027-06-14,30241,4.8
TR-02,2026-09-01,23399,5.1
TR-04,2026-06-10,21406,3.9
TR-01,2025-03-14,10518,4.9
TR-04,2026-08-27,23266,5.9
TR-04,2026-09-11,23631,3.3
TR-01,2027-07-13,30942,5.4
TR-01,2025-06-23,12948,2.8
TR-05,2025-03-25,10793,2.9
TR-02,2025-06-24,12973,4.5
TR-02,2027-10-25,33451,4.9
TR-04,2024-08-19,5560,5.1
TR-02,2028-12-10,43326,5.3
TR-05,2027-09-02,32161,4.1
TR-03,2026-09-05,23472,4.6
TR-03,2026-06-28,21837,5.9
TR-04,2026-08-04,22706,3.6
TR-05,2028-06-12,38997,4.3
TR-01,2028-02-29,36498,5.4
TR-04,2026-10-30,24800,5.4
TR-02,2027-09-01,32153,5.5
TR-04,2028-12-12,43376,3.9
TR-01,2026-03-23,19508,4.0
TR-01,2024-11-08,7490,5.6
TR-05,2027-06-13,30223,3.4
TR-01,2024-07-11,4627,4.4
TR-03,2024-01-15,346,5.9
TR-01,2027-10-27,33481,4.7
TR-03,2024-03-29,2114,3.3
TR-03,2025-06-21,12903,3.0
TR-05,2026-11-22,25364,3.0
TR-03,2028-05-09,38169,4.6
TR-02,2024-03-04,1524,3.4
TR-02,2028-09-05,41022,4.4
TR-05,2027-04-23,29010,5.8
TR-05,2024-12-05,8142,5.4
TR-01,2028-11-25,42971,2.8
TR-05,2028-12-15,43450,5.7
TR-02,2027-04-19,28898,3.8
TR-03,2028-07-16,39815,2.9
TR-02,2028-06-22,39220,4.3
TR-01,2024-02-26,1357,3.1
TR-05,2029-05-14,47056,4.9
TR-04,2027-01-31,27039,4.8
TR-03,2027-09-29,32828,3.1
TR-04,2028-06-12,38988,5.8
TR-04,2025-07-15,13479,5.5
TR-02,2026-11-21,25331,3.1
TR-04,2028-03-27,37140,5.4
TR-01,2024-02-09,949,3.3
TR-05,2028-10-06,41783,4.2
TR-03,2027-07-20,31118,4.0
TR-05,2027-03-22,28226,3.0
TR-01,2029-06-05,47576,2.6
TR-05,2029-01-10,44084,3.0
TR-03,2026-04-08,19892,4.9
TR-02,2027-09-23,32664,2.7
TR-02,2029-07-16,48575,5.7
TR-04,2025-04-21,11443,3.4
TR-05,2026-02-23,18823,5.3
TR-02,2025-04-21,11424,3.2
TR-03,2026-04-17,20092,4.3
TR-01,2024-11-20,7794,4.7
TR-04,2027-06-29,30623,3.6
TR-02,2024-11-17,7708,4.4
TR-02,2024-02-12,1021,5.1
TR-01,2029-04-30,46717,3.1
TR-01,2027-04-30,29180,2.6
TR-05,2024-01-24,573,3.1
TR-03,2024-05-14,3229,4.9
TR-03,2027-03-21,28216,4.5
TR-01,2026-01-14,17860,4.8
TR-03,2025-11-13,16388,4.6
TR-03,2024-09-29,6550,5.1
TR-05,2025-09-18,15043,4.0
TR-04,2026-01-22,18059,3.1
TR-01,2027-12-17,34726,5.3
TR-01,2027-08-09,31599,4.3
TR-05,2029-07-03,48263,4.9
TR-02,2026-06-23,21718,5.0
TR-02,2027-06-07,30092,4.2
TR-01,2028-12-05,43200,4.2
TR-05,2025-12-17,17200,3.3
TR-04,2028-05-18,38376,4.5
TR-02,2026-05-07,20590,4.4
TR-04,2028-11-12,42657,5.2
TR-03,2025-07-21,13613,4.4
TR-04,2025-04-07,11095,2.6
TR-05,2025-05-13,11958,5.5
TR-03,2025-02-01,9530,3.1
TR-01,2029-08-21,49424,4.1
TR-01,2025-07-23,13669,3.4
TR-05,2026-07-10,22116,4.9
TR-01,2024-03-05,1559,4.9
TR-03,2027-05-30,29885,4.4
TR-01,2028-10-31,42372,5.5
TR-01,2026-11-16,25220,3.5
TR-02,2027-01-16,26665,3.7
TR-01,2028-08-21,40656,3.4
TR-01,2025-05-08,11840,5.1
TR-03,2028-09-29,41599,4.6
TR-05,2028-09-16,41298,3.4
TR-04,2026-08-22,23138,3.0
TR-02,2027-04-12,28741,4.5
TR-03,2025-08-18,14282,5.5
TR-04,2028-04-12,37513,4.9
TR-01,2029-09-11,49920,5.8
TR-04,2028-11-25,42972,5.1
TR-05,2028-08-28,40836,2.5
TR-01,2027-07-07,30807,2.6
TR-03,2028-04-05,37351,3.5
TR-01,2026-11-03,24894,3.8
TR-03,2027-05-05,29287,3.9
TR-01,2027-02-05,27163,5.3
TR-02,2028-07-12,39704,3.6
TR-04,2024-06-12,3912,5.4
TR-03,2028-09-13,41209,5.6
TR-02,2024-09-02,5897,4.7
TR-02,2027-08-08,31564,3.8
TR-04,2027-05-13,29473,5.8
TR-03,2026-01-22,18066,2.9
TR-05,2024-01-29,675,5.3
TR-05,2029-07-26,48812,5.6
TR-02,2029-05-28,47378,5.3
TR-01,2026-04-26,20323,3.5
TR-05,2027-05-13,29494,2.8
TR-01,2028-10-24,42192,2.6
TR-02,2029-08-03,49001,4.6
TR-04,2024-12-30,8755,4.2
TR-05,2025-06-27,13037,3.9
TR-01,2028-06-28,39379,5.8
TR-03,2026-12-05,25677,2.9
TR-04,2024-08-07,5266,4.8
TR-03,2027-02-28,27708,4.8
TR-05,2029-08-02,48977,3.4
TR-03,2025-07-26,13750,3.1
TR-05,2025-03-11,10447,2.8
TR-01,2025-05-27,12299,4.8
TR-03,2024-07-07,4527,4.2
TR-02,2025-11-17,16485,3.7
TR-02,2028-07-06,39559,5.8
TR-05,2026-06-22,21674,5.3
TR-01,2027-01-06,26427,4.3
TR-02,2026-06-14,21486,5.2
TR-02,2025-09-02,14658,4.6
TR-04,2029-04-10,46225,3.6
TR-04,2029-06-26,48091,3.3
TR-04,2026-02-03,18354,3.3
TR-02,2024-09-21,6343,4.6
TR-05,2025-02-20,9985,4.3
TR-01,2026-06-07,21333,3.6
TR-02,2025-03-01,10213,5.2
TR-02,2028-04-08,37428,3.2
TR-05,2027-11-22,34107,5.3
TR-05,2025-05-04,11751,3.5
TR-03,2026-11-25,25426,3.2
TR-03,2025-07-01,13150,4.2
TR-05,2025-03-21,10692,5.2
TR-01,2029-01-20,44319,3.9
TR-05,2028-01-15,35413,4.1
TR-02,2024-06-02,3684,5.3
TR-03,2025-12-26,17402,2.5
TR-04,2028-01-31,35801,4.1
TR-03,2028-02-15,36152,4.3
TR-05,2028-02-01,35812,6.0
TR-04,2028-02-13,36106,5.5
TR-01,2026-12-19,26006,5.5
TR-05,2026-04-04,19782,4.3
TR-03,2025-04-27,11574,4.6
TR-02,2025-03-13,10499,2.7
TR-03,2024-01-22,508,4.1
TR-05,2024-01-09,209,5.6
TR-03,2024-04-10,2411,4.8
TR-03,2025-03-10,10433,5.4
TR-05,2025-06-05,12527,4.6
TR-05,2028-07-30,40143,5.9
TR-01,2028-11-12,42658,5.0
TR-03,2028-04-27,37892,5.0
TR-01,2025-04-11,11206,5.0
TR-01,2025-04-24,11511,3.3
TR-03,2026-03-25,19536,5.3
TR-02,2027-10-11,33109,2.7
TR-03,2027-02-18,27459,4.8
TR-04,2024-09-24,6423,3.4
TR-02,2028-11-30,43081,4.6
TR-01,2025-02-06,9661,2.5
TR-02,2028-10-28,42311,2.5
TR-03,2026-06-19,21621,4.7
TR-01,2025-09-04,14709,5.6
TR-03,2024-10-09,6772,3.4
TR-05,2029-02-07,44755,4.6
TR-04,2028-12-27,43740,4.8
TR-01,2024-06-26,4251,5.4
TR-04,2027-03-01,27743,4.5
TR-04,2027-06-03,29986,2.9
TR-01,2025-01-25,9360,2.9
TR-04,2029-04-26,46616,3.9
TR-04,2025-03-18,10617,4.9
TR-02,2024-12-19,8480,3.5
TR-02,2027-02-24,27613,4.2
TR-02,2028-08-09,40371,4.1
TR-01,2027-01-20,26781,4.3
TR-02,2027-05-06,29313,5.6
TR-01,2029-08-11,49181,4.8
TR-02,2025-04-28,11599,4.5
TR-02,2027-12-29,35010,5.9
TR-04,2029-01-25,44438,5.3
TR-01,2026-08-09,22831,2.8
TR-03,2029-08-09,49136,5.6
TR-04,2026-11-17,25239,4.7
TR-04,2029-02-07,44739,4.0
TR-05,2028-03-27,37141,3.9
TR-05,2027-10-26,33474,2.6
TR-05,2025-07-19,13569,3.2
TR-04,2029-05-15,47071,3.9
TR-01,2029-07-07,48348,5.8
TR-01,2028-01-10,35283,4.0
TR-05,2028-11-10,42607,4.2
TR-02,2027-03-12,28002,5.1
TR-02,2027-12-14,34639,2.5
TR-02,2025-02-08,9714,4.1
TR-02,2026-08-07,22777,4.9
TR-03,2026-10-09,24290,4.2
TR-02,2028-05-14,38290,5.0
TR-02,2025-03-18,10617,2.7
TR-04,2024-02-22,1259,5.0
TR-04,2025-03-04,10279,4.8
TR-05,2028-05-02,38007,2.7
TR-02,2029-02-25,45172,6.0
TR-05,2028-05-18,38397,4.0
TR-04,2024-07-26,4981,4.1
TR-04,2027-03-14,28037,5.5
TR-03,2024-03-23,1976,3.9
TR-03,2025-12-18,17211,2.8
TR-01,2025-10-02,15374,5.3
TR-03,2027-12-25,34909,4.5
TR-04,2024-12-15,8387,4.8
TR-01,2028-06-07,38857,4.8
TR-04,2025-10-27,15976,5.7
TR-02,2025-10-04,15425,3.7
TR-01,2026-07-02,21930,5.8
TR-04,2024-12-04,8119,5.3
TR-02,2025-08-27,14502,5.9
TR-03,2026-08-20,23109,4.8
TR-02,2028-02-20,36280,4.2
TR-04,2024-02-07,888,3.1
TR-01,2029-08-29,49620,4.4
TR-04,2028-08-14,40498,4.8
TR-01,2025-12-16,17165,3.5
TR-04,2028-10-10,41879,5.9
TR-03,2024-11-14,7640,4.5
TR-04,2029-03-11,45505,4.4
TR-04,2026-12-03,25609,5.0
TR-02,2028-03-03,36565,5.4
TR-02,2027-02-28,27713,4.5
TR-05,2026-10-13,24405,3.8
TR-01,2029-02-26,45196,3.8
TR-01,2028-07-17,39833,4.4
TR-05,2028-12-24,43664,4.3
TR-05,2026-06-07,21333,4.0
TR-03,2028-10-22,42158,5.1
TR-04,2028-05-11,38213,5.5
TR-02,2024-12-03,8102,5.7
TR-05,2025-09-02,14657,4.7
TR-01,2026-08-27,23271,3.0
TR-05,2024-05-05,3016,4.4
TR-04,2025-08-01,13873,4.5
TR-01,2028-03-23,37045,3.9
TR-03,2026-05-18,20836,4.7
TR-01,2024-05-28,3567,3.4
TR-03,2028-06-12,38976,2.7
TR-01,2029-01-07,43995,4.0
TR-05,2025-07-27,13752,3.2
TR-03,2025-01-07,8935,3.7
TR-02,2027-10-06,32996,5.4
TR-03,2027-08-18,31816,4.1
TR-03,2024-10-18,6989,4.7
TR-02,2028-01-13,35372,5.0
TR-02,2026-11-26,25449,4.5
TR-04,2029-01-14,44178,5.2
TR-01,2025-11-25,16677,3.2
TR-02,2024-06-18,4060,4.6
TR-05,2026-07-25,22471,4.7
TR-02,2027-07-10,30885,2.5
TR-03,2027-12-12,34588,4.2
TR-04,2027-05-02,29227,4.4
TR-03,2028-05-13,38276,3.5
TR-05,2026-05-27,21070,3.0
TR-01,2028-12-18,43519,4.2
TR-03,2025-06-14,12735,5.8
TR-02,2028-06-08,38901,2.8
TR-02,2026-03-07,19106,3.8
TR-02,2026-12-22,26084,4.4
TR-02,2027-07-25,31236,3.3
TR-01,2028-04-19,37700,3.0
TR-03,2029-06-05,47589,5.6
TR-05,2024-04-05,2281,4.4
TR-01,2025-11-13,16370,4.2
TR-02,2025-11-28,16747,5.6
TR-01,2024-12-29,8721,4.6
TR-05,2024-03-01,1456,3.9
TR-01,2028-07-31,40165,4.6
TR-05,2025-05-26,12269,2.6
TR-02,2028-10-24,42207,3.0
TR-01,2025-10-14,15663,4.3
TR-04,2024-03-31,2167,2.7
TR-05,2025-04-02,10969,4.6
TR-02,2025-08-06,14009,5.6
TR-01,2027-08-23,31941,5.2
TR-03,2027-03-11,27961,3.8
TR-04,2027-04-17,28866,2.7
TR-05,2028-11-29,43072,4.2
TR-01,2027-03-01,27724,5.3
TR-01,2027-07-28,31313,2.9
TR-02,2028-07-17,39838,4.6
TR-01,2024-01-24,572,2.6
TR-02,2025-10-30,16032,4.4
TR-03,2029-01-22,44359,3.8
TR-04,2025-11-07,16238,3.2
TR-05,2025-11-14,16393,3.1
TR-04,2028-11-18,42797,4.5
TR-02,2024-08-28,5762,5.7
TR-02,2027-10-21,33351,2.6
TR-04,2025-12-12,17066,5.1
TR-03,2026-07-09,22090,5.7
TR-04,2026-02-17,18695,5.9
TR-02,2027-02-14,27366,4.8
TR-05,2026-02-06,18422,5.5
TR-03,2027-09-19,32585,2.5
TR-01,2026-07-25,22464,4.5
TR-02,2027-02-07,27209,3.7
TR-04,2025-10-02,15367,3.5
TR-04,2027-04-10,28683,3.4
TR-02,2027-05-28,29844,3.4
TR-03,2029-05-27,47371,6.0
TR-02,2026-06-18,21590,4.4
TR-03,2025-10-23,15886,3.9
TR-05,2028-03-03,36556,5.2
TR-05,2025-05-20,12131,2.5
TR-02,2027-04-25,29041,3.7
TR-05,2027-03-07,27886,5.8
TR-03,2024-07-24,4920,3.9
TR-01,2027-06-21,30409,4.6
TR-02,2029-08-18,49362,4.1
TR-04,2025-02-09,9738,6.0
TR-02,2028-12-23,43649,2.9
TR-01,2026-02-26,18894,5.7
TR-01,2025-10-31,16058,4.5
TR-04,2027-02-24,27617,5.3
TR-01,2028-12-24,43672,3.1
TR-02,2026-06-02,21193,3.3
TR-02,2026-02-20,18754,3.0
TR-05,2029-09-24,50250,5.9
TR-01,2026-05-23,20973,5.5
TR-05,2025-11-18,16501,4.9
TR-04,2028-07-05,39535,4.9
TR-03,2024-08-17,5504,5.0
TR-05,2028-07-08,39609,5.2
TR-03,2027-01-14,26637,2.7
TR-03,2026-11-13,25145,5.1
TR-04,2027-09-17,32543,2.5
TR-04,2026-12-19,25993,3.1
TR-03,2025-03-01,10204,2.7
TR-05,2029-01-15,44188,2.7
TR-02,2024-07-25,4962,5.2
TR-02,2025-07-10,13367,4.9
TR-01,2027-04-22,28985,4.5
TR-04,2027-03-28,28372,3.2
TR-02,2024-03-19,1887,2.6
TR-05,2027-07-08,30832,4.2
TR-05,2024-11-12,7602,3.0
TR-03,2025-09-05,14721,3.0
TR-04,2029-06-15,47818,3.8
TR-04,2027-09-05,32236,5.9
TR-03,2029-06-25,48068,4.7
TR-04,2024-02-17,1135,4.7
TR-03,2028-04-11,37505,5.5
TR-01,2028-02-04,35896,2.6
TR-03,2025-02-17,9932,5.2
TR-05,2026-03-24,19531,3.7
TR-01,2029-07-28,48842,3.9
TR-01,2024-01-09,202,4.9
TR-05,2024-07-09,4580,2.6
TR-02,2024-01-09,194,3.5
TR-04,2024-09-08,6035,2.7
TR-05,2024-09-10,6092,5.8
TR-03,2028-12-27,43737,2.9
TR-02,2025-06-11,12651,4.1
TR-05,2028-01-02,35098,4.3
TR-05,2028-04-11,37498,4.4
TR-02,2026-02-01,18298,4.2
TR-04,2027-02-12,27313,4.2
TR-05,2026-04-17,20099,3.1
TR-01,2029-01-30,44544,4.7
TR-02,2026-04-05,19814,2.8
TR-05,2029-06-23,48013,6.0
TR-04,2027-08-05,31493,3.0
TR-02,2027-11-26,34205,4.5
TR-04,2025-04-01,10951,2.8
TR-01,2025-03-07,10366,4.4
TR-03,2028-03-02,36539,5.1
TR-03,2024-05-28,3553,5.4
TR-01,2029-07-15,48545,4.5
TR-02,2024-07-13,4671,4.0
TR-01,2028-07-09,39638,5.1
TR-05,2026-08-07,22796,3.6
TR-03,2029-06-10,47708,4.1
TR-05,2026-12-22,26074,5.5
TR-02,2024-10-01,6593,4.7
TR-03,2025-08-05,13983,5.4
TR-04,2028-12-01,43117,5.6
TR-03,2025-05-29,12353,3.9
TR-02,2029-07-24,48757,3.6
TR-05,2027-02-24,27620,3.9
TR-03,2028-12-09,43309,3.3
TR-05,2025-09-08,14803,3.5
TR-03,2024-11-27,7967,5.4
TR-04,2028-03-13,36813,4.9
TR-02,2028-11-23,42917,4.2
TR-02,2025-11-08,16253,4.4
TR-03,2026-03-09,19170,5.9
TR-04,2027-12-11,34566,5.0
TR-04,2025-05-23,12211,5.1
TR-02,2029-03-26,45870,3.8
TR-04,2028-01-07,35228,2.8
TR-05,2028-10-31,42364,2.9
TR-04,2027-06-19,30361,5.8
TR-03,2027-11-24,34163,2.8
TR-02,2025-05-29,12346,4.4
TR-04,2026-04-20,20163,4.3
TR-03,2027-01-04,26377,5.1
TR-01,2026-12-04,25650,5.3
TR-04,2024-05-15,3254,5.3
TR-05,2027-11-11,33859,4.8
TR-02,2025-12-25,17381,3.7
TR-04,2028-01-18,35480,4.9
TR-05,2025-08-11,14114,4.2
TR-03,2029-01-11,44099,2.7
TR-04,2024-06-19,4092,2.8
TR-01,2024-06-14,3960,4.8
TR-03,2027-07-07,30804,4.3
TR-03,2028-02-05,35922,3.7
TR-02,2028-09-09,41131,3.2
TR-04,2029-02-25,45181,2.9
TR-04,2024-05-27,3529,3.7
TR-04,2024-05-09,3118,5.0
TR-03,2027-05-24,29737,5.3
TR-05,2028-03-16,36870,3.7
TR-04,2028-07-20,39908,3.3
TR-03,2026-06-07,21320,5.0
TR-01,2025-02-20,10002,3.1
TR-05,2029-03-06,45388,3.8
TR-02,2025-09-08,14796,3.3
TR-02,2029-05-06,46850,5.4
TR-02,2029-05-01,46745,5.2
TR-04,2025-03-08,10385,3.2
TR-03,2025-07-06,13260,3.4
TR-03,2025-11-30,16780,4.1
TR-04,2025-05-29,12349,4.0
TR-02,2024-04-13,2482,5.4
TR-05,2028-01-08,35247,3.9
TR-02,2025-02-16,9897,5.4
TR-05,2024-07-28,5019,3.3
TR-03,2028-10-15,41981,6.0
TR-01,2026-02-15,18638,5.8
TR-03,2029-08-29,49613,4.1
TR-03,2026-05-28,21084,5.2
TR-01,2028-10-06,41780,2.9
TR-02,2026-10-20,24574,3.9
TR-05,2025-01-31,9507,2.9
TR-03,2027-01-26,26913,4.1
TR-01,2024-03-15,1780,3.9
TR-03,2029-04-27,46634,3.4
TR-02,2025-12-11,17061,3.0
TR-03,2026-12-11,25801,4.0
TR-02,2027-01-29,26984,4.2
TR-03,2024-09-21,6337,3.4
TR-04,2027-04-05,28563,2.9
TR-02,2029-02-18,45010,5.8
TR-04,2024-01-13,294,5.3
TR-05,2029-03-13,45571,4.4
TR-05,2026-09-07,23522,3.2
TR-03,2028-05-28,38622,5.7
TR-01,2026-10-15,24447,4.9
TR-05,2029-01-01,43867,4.7
TR-05,2026-08-18,23056,5.4
TR-04,2026-06-26,21790,5.9
TR-03,2025-04-10,11183,5.0
TR-01,2024-09-30,6557,3.7
TR-01,2025-08-20,14339,3.9
TR-05,2026-10-24,24664,3.4
TR-04,2024-02-11,996,2.9
TR-05,2025-02-28,10190,3.3
TR-01,2026-04-09,19905,5.9
TR-05,2029-04-12,46288,3.1
TR-02,2029-01-06,43987,5.5
TR-04,2027-10-25,33435,4.3
TR-02,2024-05-20,3368,2.8
TR-01,2026-01-01,17544,2.6
TR-02,2029-04-06,46146,5.7
TR-05,2026-08-27,23274,4.7
TR-03,2027-10-04,32946,3.8
TR-02,2026-03-20,19435,2.5
TR-02,2029-06-17,47858,3.2
TR-01,2024-12-05,8137,2.8
TR-03,2028-08-12,40459,3.4
TR-02,2025-04-07,11092,3.7
TR-04,2024-04-20,2654,5.0
TR-04,2025-05-13,11954,5.0
TR-03,2028-11-27,43028,5.4
TR-02,2026-09-09,23568,2.6
TR-02,2028-01-23,35593,5.4
TR-03,2029-05-15,47077,4.2
TR-01,2026-06-27,21803,4.4
TR-04,2026-03-15,19304,5.5
TR-04,2025-01-05,8899,4.4
TR-03,2024-12-11,8282,3.9
TR-01,2028-02-20,36278,5.9
TR-01,2026-10-28,24760,5.0
TR-05,2027-08-16,31754,3.3
TR-05,2026-05-05,20524,5.9
TR-05,2027-08-05,31491,4.1
TR-01,2024-08-25,5695,5.6
TR-03,2027-03-27,28364,4.2
TR-03,2027-04-26,29070,4.0
TR-03,2029-02-01,44609,2.6
TR-04,2026-09-25,23966,3.1
TR-05,2024-10-28,7228,4.6
TR-03,2026-08-28,23298,2.7
TR-04,2024-04-06,2304,4.4
TR-03,2027-09-03,32200,6.0
TR-01,2029-02-08,44773,4.7
TR-04,2027-02-19,27496,5.5
TR-03,2024-08-01,5116,4.2
TR-04,2026-03-24,19531,3.4
TR-01,2025-03-22,10709,4.8
TR-01,2024-10-27,7216,5.6
TR-02,2028-05-04,38046,4.4
TR-04,2027-01-05,26423,2.6
TR-05,2024-04-19,2624,4.9
TR-04,2028-10-24,42192,3.9
TR-03,2029-07-12,48460,5.1
TR-02,2026-07-14,22217,3.0
TR-05,2027-06-24,30489,5.2
TR-02,2027-08-19,31827,4.2
TR-03,2026-07-25,22480,4.8
TR-04,2026-12-29,26249,3.1
TR-04,2024-10-22,7099,5.6
TR-01,2029-02-14,44925,2.7
TR-05,2024-11-28,7991,5.6
TR-03,2024-09-01,5857,2.9
TR-03,2025-03-18,10627,4.0
TR-02,2029-04-14,46343,5.0
TR-02,2028-11-07,42529,2.9
TR-02,2027-01-01,26324,3.3
TR-03,2029-09-21,50172,3.5
TR-01,2027-10-04,32943,2.7
TR-05,2029-06-07,47622,2.5
TR-01,2026-05-07,20585,3.8
TR-01,2024-08-11,5360,2.8
TR-05,2025-07-13,13434,4.5
TR-01,2028-10-15,41980,2.7
TR-04,2029-01-04,43931,5.3
TR-01,2028-01-22,35572,2.8
TR-03,2026-08-15,22985,2.7
