equipment_code,ttf_h,heures_fonct,date_panne
TR-02,315.8,65425.19999999999,2031-06-19 01:11
TR-03,324.2,37328.2,2028-04-04 08:12
TR-04,513.7,66756.09999999999,2031-08-13 12:05
TR-04,769.9,24047.500000000007,2026-09-28 23:30
TR-03,289.6,23333.199999999997,2026-08-30 05:11
TR-01,147.9,32464.50000000001,2027-09-14 16:30
TR-04,1423.1,41266.700000000004,2028-09-15 10:42
TR-01,177.9,15867.2,2025-10-23 03:12
TR-03,225.0,10703.599999999999,2025-03-21 23:35
TR-02,80.9,15566.899999999996,2025-10-10 14:53
TR-03,141.1,39729.5,2028-07-13 09:30
TR-02,666.4,58272.599999999984,2030-08-25 00:35
TR-05,526.9,85837.99999999999,2033-10-16 13:59
TR-02,308.1,22227.999999999993,2026-07-15 03:59
TR-03,17.8,42525.50000000001,2028-11-06 21:30
TR-01,345.6,1160.0,2024-02-18 08:00
TR-05,127.0,12107.5,2025-05-19 11:30
TR-04,570.8,95570.29999999994,2034-11-26 02:17
TR-04,175.1,48601.90000000001,2029-07-18 01:54
TR-05,728.3,33229.5,2027-10-16 13:30
TR-03,68.7,23401.899999999998,2026-09-02 01:53
TR-01,402.6,41429.600000000006,2028-09-22 05:36
TR-01,302.0,1462.0,2024-03-01 22:00
TR-02,754.1,70956.5,2032-02-04 12:30
TR-02,768.6,2773.3,2024-04-25 13:18
TR-03,633.3,33732.700000000004,2027-11-06 12:42
TR-01,692.7,8075.5999999999985,2024-12-02 11:35
TR-01,253.3,2424.6,2024-04-11 00:36
TR-03,327.8,43911.4,2029-01-03 15:24
TR-03,233.7,27049.200000000004,2027-02-01 01:12
TR-04,425.1,58768.6,2030-09-14 16:36
TR-04,931.9,17326.100000000006,2025-12-22 22:06
TR-02,306.8,72727.20000000001,2032-04-18 07:12
TR-02,674.2,64902.599999999984,2031-05-28 06:35
TR-05,582.7,5712.3,2024-08-26 00:18
TR-03,101.0,23502.899999999998,2026-09-06 06:53
TR-02,118.7,84948.60000000003,2033-09-09 12:36
TR-01,517.0,33809.400000000016,2027-11-09 17:24
TR-03,309.9,19949.8,2026-04-11 05:48
TR-01,55.6,34381.900000000016,2027-12-03 13:54
TR-04,745.5,87361.89999999995,2033-12-19 01:53
TR-04,323.9,3919.3999999999996,2024-06-12 07:23
TR-01,747.2,37524.80000000001,2028-04-12 12:48
TR-03,47.7,9313.699999999999,2025-01-23 01:41
TR-04,573.4,18546.800000000007,2026-02-11 18:48
TR-04,55.7,34389.100000000006,2027-12-03 21:06
TR-01,195.2,5904.699999999999,2024-09-03 00:41
TR-04,1003.1,12736.4,2025-06-14 16:24
TR-03,228.7,6031.699999999999,2024-09-08 07:41
TR-01,612.6,35134.500000000015,2028-01-03 22:30
TR-04,690.7,53886.600000000006,2030-02-23 06:36
TR-03,2.0,7011.0999999999985,2024-10-19 03:05
TR-02,390.2,25599.499999999993,2026-12-02 15:29
TR-04,598.6,47119.10000000001,2029-05-17 07:06
TR-02,213.0,40403.99999999999,2028-08-10 11:59
TR-04,202.7,29703.100000000006,2027-05-22 15:06
TR-05,458.7,47147.69999999998,2029-05-18 11:41
TR-02,948.1,55299.29999999998,2030-04-23 03:17
TR-02,259.7,86093.10000000003,2033-10-27 05:06
TR-03,258.5,46255.2,2029-04-11 07:12
TR-01,24.4,43730.9,2028-12-27 02:54
TR-04,345.7,44144.700000000004,2029-01-13 08:42
TR-04,182.7,39531.40000000001,2028-07-05 03:24
TR-05,411.6,58099.2,2030-08-17 19:12
TR-05,862.6,63294.5,2031-03-22 06:30
TR-01,539.7,14493.100000000002,2025-08-26 21:06
TR-01,303.6,44286.0,2029-01-19 06:00
TR-02,396.2,69265.3,2031-11-26 01:18
TR-05,315.8,48544.69999999998,2029-07-15 16:41
TR-01,482.0,29158.30000000001,2027-04-29 22:18
TR-02,21.5,3059.1000000000004,2024-05-07 11:06
TR-01,253.6,49062.7,2029-08-06 06:42
TR-01,483.0,4068.3999999999996,2024-06-18 12:23
TR-05,81.3,9062.6,2025-01-12 14:36
TR-02,291.0,51693.69999999998,2029-11-23 21:41
TR-02,70.0,10510.400000000001,2025-03-13 22:24
TR-03,39.5,21420.499999999996,2026-06-11 12:29
TR-03,168.1,16882.999999999996,2025-12-04 10:59
TR-05,90.4,89398.69999999997,2034-03-13 22:41
TR-03,48.8,4653.4,2024-07-12 21:23
TR-02,491.4,15401.199999999997,2025-10-03 17:11
TR-01,281.9,44902.5,2029-02-13 22:30
TR-03,244.9,17277.899999999998,2025-12-20 21:53
TR-05,42.0,67174.89999999998,2031-08-30 22:53
TR-04,589.4,49191.30000000001,2029-08-11 15:18
TR-05,137.7,40877.39999999999,2028-08-30 05:23
TR-02,1150.3,16717.199999999997,2025-11-27 13:11
TR-04,72.0,752.5,2024-02-01 08:30
TR-01,554.7,49791.09999999999,2029-09-05 15:05
TR-05,750.2,34315.399999999994,2027-11-30 19:23
TR-02,345.1,7322.900000000001,2024-11-01 02:54
TR-03,557.2,5802.999999999999,2024-08-29 18:59
TR-04,197.6,99704.79999999996,2035-05-17 08:47
TR-05,897.4,83194.4,2033-06-28 10:24
TR-02,282.6,68274.2,2031-10-15 18:12
TR-03,330.8,38976.9,2028-06-12 00:54
TR-02,1111.5,53495.79999999998,2030-02-06 23:47
TR-02,688.4,47526.69999999999,2029-06-03 06:41
TR-02,504.8,14214.899999999998,2025-08-15 06:53
TR-01,376.7,27745.10000000001,2027-03-02 01:06
TR-05,349.0,81203.70000000001,2033-04-06 11:42
TR-05,108.6,36888.49999999999,2028-03-17 00:29
TR-02,983.3,64228.39999999999,2031-04-30 04:23
TR-01,132.7,4469.399999999999,2024-07-05 05:23
TR-05,302.2,76272.2,2032-09-13 00:12
TR-01,817.2,3585.3999999999996,2024-05-29 09:23
TR-01,347.1,11326.100000000002,2025-04-16 22:06
TR-01,141.3,5060.699999999999,2024-07-29 20:41
TR-01,570.6,47677.7,2029-06-09 13:42
TR-02,117.4,65542.59999999999,2031-06-23 22:35
TR-05,283.6,75038.2,2032-07-23 14:12
TR-01,30.5,38667.20000000001,2028-05-30 03:12
TR-02,996.1,18815.699999999997,2026-02-22 23:41
TR-01,733.9,36777.60000000001,2028-03-12 09:36
TR-04,430.9,75675.99999999997,2032-08-19 03:59
TR-04,812.5,38791.80000000001,2028-06-04 07:48
TR-02,553.6,48968.79999999999,2029-08-02 08:47
TR-02,206.6,26972.49999999999,2027-01-28 20:29
TR-01,428.5,30449.60000000001,2027-06-22 17:36
TR-01,55.7,23648.90000000001,2026-09-12 08:54
TR-04,538.0,104953.09999999998,2035-12-22 01:05
TR-01,293.9,38429.80000000001,2028-05-20 05:48
TR-05,299.8,13434.6,2025-07-13 18:36
TR-01,19.3,25762.800000000007,2026-12-09 10:48
TR-01,126.8,38111.30000000001,2028-05-06 23:18
TR-01,78.3,1540.3,2024-03-05 04:18
TR-03,381.8,21885.199999999997,2026-06-30 21:11
TR-04,397.3,11733.3,2025-05-03 21:18
TR-05,207.6,706.3000000000001,2024-01-30 10:18
TR-03,219.3,30904.9,2027-07-11 16:54
TR-04,239.4,48426.80000000001,2029-07-10 18:48
TR-02,297.6,75717.00000000003,2032-08-20 21:00
TR-01,118.7,39502.600000000006,2028-07-03 22:36
TR-02,288.6,20893.899999999994,2026-05-20 13:53
TR-03,85.3,44700.0,2029-02-05 12:00
TR-05,183.8,10783.3,2025-03-25 07:18
TR-04,900.4,73808.19999999998,2032-06-02 08:11
TR-02,396.3,21919.899999999994,2026-07-02 07:53
TR-04,475.1,3595.4999999999995,2024-05-29 19:29
TR-04,243.8,71274.9,2032-02-17 18:53
TR-03,40.7,3101.0999999999995,2024-05-09 05:05
TR-02,272.0,77092.90000000002,2032-10-17 04:54
TR-01,129.9,28028.80000000001,2027-03-13 20:48
TR-03,262.0,633.3,2024-01-27 09:18
TR-02,395.2,34514.499999999985,2027-12-09 02:29
TR-01,323.0,23971.90000000001,2026-09-25 19:54
TR-03,63.6,33001.0,2027-10-07 01:00
TR-02,609.6,73506.30000000002,2032-05-20 18:18
TR-01,162.0,36043.70000000001,2028-02-10 19:42
TR-02,1182.5,43779.79999999999,2028-12-29 03:47
TR-05,219.4,67394.29999999997,2031-09-09 02:17
TR-03,214.4,40423.6,2028-08-11 07:36
TR-04,156.1,44790.8,2029-02-09 06:48
TR-05,897.1,25442.600000000002,2026-11-26 02:36
TR-05,296.7,80331.1,2033-03-01 03:06
TR-04,744.9,80558.29999999996,2033-03-10 14:17
TR-01,244.2,10274.1,2025-03-04 02:06
TR-05,399.0,29046.1,2027-04-25 06:06
TR-02,888.5,48415.19999999999,2029-07-10 07:11
TR-02,412.3,66900.4,2031-08-19 12:23
TR-05,761.4,85311.09999999999,2033-09-24 15:05
TR-03,122.6,46377.799999999996,2029-04-16 09:47
TR-05,148.6,45061.99999999998,2029-02-20 13:59
TR-05,149.2,68146.79999999997,2031-10-10 10:47
TR-01,40.8,17559.000000000004,2026-01-01 15:00
TR-04,331.3,98730.69999999995,2035-04-06 18:41
TR-02,382.1,32988.09999999999,2027-10-06 12:05
TR-02,347.6,10440.400000000001,2025-03-11 00:24
TR-03,616.6,35877.8,2028-02-03 21:48
TR-03,87.8,20134.6,2026-04-18 22:36
TR-01,28.6,15554.7,2025-10-10 02:42
TR-01,428.7,20619.40000000001,2026-05-09 03:24
TR-02,448.0,36681.89999999999,2028-03-08 09:53
TR-04,896.3,89161.69999999995,2034-03-04 01:41
TR-04,451.0,16394.200000000004,2025-11-14 02:12
TR-02,769.0,30731.79999999999,2027-07-04 11:47
TR-04,274.1,104415.09999999998,2035-11-29 15:05
TR-01,140.0,34521.900000000016,2027-12-09 09:54
TR-03,393.6,45568.5,2029-03-13 16:30
TR-04,370.6,14238.800000000001,2025-08-16 06:48
TR-05,697.5,77597.7,2032-11-07 05:42
TR-04,868.4,62269.70000000001,2031-02-07 13:42
TR-01,251.5,43982.4,2029-01-06 14:24
TR-01,131.6,9385.699999999999,2025-01-26 01:41
TR-03,180.3,40603.9,2028-08-18 19:54
TR-04,469.6,13206.0,2025-07-04 06:00
TR-03,10.1,19959.899999999998,2026-04-11 15:53
TR-02,586.5,17819.6,2026-01-12 11:35
TR-05,561.7,75599.9,2032-08-15 23:54
TR-01,115.7,32635.100000000013,2027-09-21 19:06
TR-02,56.2,51358.999999999985,2029-11-09 22:59
TR-03,334.1,44461.1,2029-01-26 13:06
TR-02,156.0,46056.39999999999,2029-04-03 00:23
TR-01,752.9,12844.700000000003,2025-06-19 04:42
TR-02,101.8,13628.199999999999,2025-07-21 20:11
TR-05,463.5,11980.5,2025-05-14 04:30
TR-01,833.7,40616.700000000004,2028-08-19 08:42
TR-05,1476.0,54278.899999999994,2030-03-11 14:53
TR-04,1186.2,100890.99999999996,2035-07-05 18:59
TR-01,107.2,10979.000000000002,2025-04-02 11:00
TR-05,700.8,22916.600000000002,2026-08-12 20:36
TR-01,73.2,17065.700000000004,2025-12-12 01:42
TR-03,154.4,39490.3,2028-07-03 10:18
TR-04,499.9,31736.100000000006,2027-08-15 08:06
TR-03,592.4,5245.799999999999,2024-08-06 13:47
TR-03,90.4,33091.4,2027-10-10 19:24
TR-02,233.1,74996.80000000002,2032-07-21 20:48
TR-03,88.7,31267.4,2027-07-26 19:24
TR-02,117.8,84829.90000000004,2033-09-04 13:54
TR-01,301.8,7262.0999999999985,2024-10-29 14:05
TR-05,264.0,26166.2,2026-12-26 06:12
TR-02,600.0,1784.3,2024-03-15 08:18
TR-01,541.8,30021.10000000001,2027-06-04 21:06
TR-04,133.2,72076.79999999999,2032-03-22 04:47
TR-03,153.6,6422.199999999999,2024-09-24 14:11
TR-02,465.1,85678.90000000004,2033-10-09 22:54
TR-04,446.4,34965.100000000006,2027-12-27 21:06
TR-01,160.5,16594.600000000002,2025-11-22 10:36
TR-05,347.7,12455.2,2025-06-02 23:12
TR-02,769.2,76820.90000000002,2032-10-05 20:54
TR-05,648.5,65109.799999999996,2031-06-05 21:47
TR-04,625.0,86043.89999999995,2033-10-25 03:53
TR-01,200.4,32835.500000000015,2027-09-30 03:30
TR-05,407.8,20201.9,2026-04-21 17:54
TR-04,515.4,94608.59999999995,2034-10-17 00:35
TR-03,55.0,371.3,2024-01-16 11:18
TR-03,168.7,30587.200000000004,2027-06-28 11:12
TR-01,295.3,41027.00000000001,2028-09-05 11:00
TR-04,395.4,76466.99999999997,2032-09-21 02:59
TR-05,129.2,74211.4,2032-06-19 03:23
TR-04,235.5,64349.700000000004,2031-05-05 05:42
TR-01,556.0,50347.09999999999,2029-09-28 19:05
TR-05,207.6,207.6,2024-01-09 15:36
TR-01,623.3,15377.2,2025-10-02 17:12
TR-03,378.9,14546.599999999999,2025-08-29 02:35
TR-05,862.0,18654.9,2026-02-16 06:54
TR-01,31.6,1640.9999999999998,2024-03-09 08:59
TR-03,452.2,7009.0999999999985,2024-10-19 01:05
TR-05,723.7,74082.2,2032-06-13 18:12
TR-03,269.8,10973.399999999998,2025-04-02 05:23
TR-02,715.6,39445.59999999999,2028-07-01 13:35
TR-01,157.8,43610.1,2028-12-22 02:06
TR-03,481.5,22892.399999999998,2026-08-11 20:23
TR-04,1240.8,77707.79999999997,2032-11-11 19:47
TR-03,332.5,45901.0,2029-03-27 13:00
TR-01,51.8,25743.500000000007,2026-12-08 15:30
TR-03,574.0,29121.100000000006,2027-04-28 09:06
TR-04,983.0,57039.8,2030-07-04 15:48
TR-01,373.2,41922.5,2028-10-12 18:30
TR-01,258.6,11723.300000000003,2025-05-03 11:18
TR-04,319.0,72483.49999999999,2032-04-08 03:29
TR-02,465.9,73972.20000000001,2032-06-09 04:12
TR-01,121.7,5549.799999999999,2024-08-19 05:47
TR-04,668.9,37063.90000000001,2028-03-24 07:54
TR-05,93.6,1086.4,2024-02-15 06:24
TR-02,564.1,63245.099999999984,2031-03-20 05:05
TR-01,11.7,44297.7,2029-01-19 17:42
TR-05,291.1,498.70000000000005,2024-01-21 18:42
TR-01,147.4,50811.69999999999,2029-10-18 03:41
TR-03,26.6,14167.699999999999,2025-08-13 07:41
TR-02,205.4,37742.59999999999,2028-04-21 14:35
TR-04,798.6,47917.70000000001,2029-06-19 13:42
TR-04,954.8,85163.69999999995,2033-09-18 11:41
TR-01,238.7,48809.1,2029-07-26 17:06
TR-01,29.6,6960.299999999998,2024-10-17 00:17
TR-01,586.7,32316.60000000001,2027-09-08 12:36
TR-04,318.9,33864.20000000001,2027-11-12 00:12
TR-04,157.8,101822.89999999997,2035-08-13 14:53
TR-04,465.0,35430.100000000006,2028-01-16 06:06
TR-03,351.5,8824.699999999997,2025-01-02 16:41
TR-01,18.4,25691.700000000008,2026-12-06 11:42
TR-03,202.5,32937.4,2027-10-04 09:24
TR-01,24.6,38135.90000000001,2028-05-07 23:54
TR-01,184.2,27368.40000000001,2027-02-14 08:24
TR-04,139.4,8492.3,2024-12-19 20:17
TR-04,470.4,79813.39999999997,2033-02-07 13:23
TR-04,99.0,38890.80000000001,2028-06-08 10:48
TR-05,234.2,68996.69999999998,2031-11-14 20:41
TR-03,713.5,2893.3999999999996,2024-04-30 13:23
TR-04,87.7,72164.49999999999,2032-03-25 20:29
TR-03,167.0,3060.3999999999996,2024-05-07 12:23
TR-02,91.7,10092.800000000001,2025-02-24 12:48
TR-05,454.0,9516.6,2025-01-31 12:36
TR-04,382.5,102888.69999999997,2035-09-27 00:41
TR-04,972.6,22587.400000000005,2026-07-30 03:24
TR-05,125.5,32501.2,2027-09-16 05:12
TR-02,126.5,72853.70000000001,2032-04-23 13:42
TR-03,141.0,19236.699999999997,2026-03-12 12:41
TR-03,225.2,16714.899999999998,2025-11-27 10:53
TR-04,725.2,105678.29999999997,2036-01-21 06:17
TR-02,457.6,49426.39999999999,2029-08-21 10:23
TR-02,456.8,54093.099999999984,2030-03-03 21:05
TR-02,81.9,13710.099999999999,2025-07-25 06:05
TR-03,22.2,6444.399999999999,2024-09-25 12:23
TR-04,89.3,45271.100000000006,2029-03-01 07:06
TR-03,133.1,26038.4,2026-12-20 22:24
TR-05,575.8,65685.59999999999,2031-06-29 21:35
