ts,level,code,msg,value,threshold,processed,site,equipment
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,210.1274542942672,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,214.6500106603916,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,214.34609853614396,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,214.17608156598223,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,209.9332126260245,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,212.4005086343218,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,213.3264745211381,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,210.5932915707722,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,213.49770777866203,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,214.11480870362595,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,213.15482791924748,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,212.43895496009532,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,214.6609422061533,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,213.2574401576807,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,213.3496877132769,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,213.6834449945133,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.99922089780601,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041950409162403,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6610799221835721,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.99766309207061,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041952696495339,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6615450221341749,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.99533017498268,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041956122160882,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6596975667461303,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.9929965466173,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.004195954915072,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.661669296827958,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.99066307496642,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041962976190309,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6503400516524731,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.98833218272922,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041966399721096,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6507655959057524,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.98599771457575,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041969828784011,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6513839243616738,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.98366372431201,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041973257425062,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6550253833169998,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.98133149383996,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041976683760752,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6653386919488794,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.97977538628176,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041978970031231,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6695863479319005,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.97744221513393,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041982398215463,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6595935169583528,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.97511232239694,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041985821862018,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.661514766223193,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.97278131533685,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041989247425405,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6667991832718442,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.97045203887012,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041992670724751,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6681708942665043,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.96733986836797,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041997245066169,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6668478144528118,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.96500851464164,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042000672071166,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6573968249913136,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.96190197913938,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042005238999702,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6595697683115307,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.96034610799579,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042007526477857,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6651555597575647,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.95801673546009,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042010951408716,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6621737500118592,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.95568648412211,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042014377911095,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.665512206809863,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.95335667991742,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042017804035383,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6628668836877798,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.95102698305232,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.004202123028119,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6573012842785961,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.94869801023488,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042024655741407,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.666183875173722,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.9463702574263,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042028079686247,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6696628308264961,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.9440408954658,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.004203150627728,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.654505538486091,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.94171244071198,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042034931812982,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6657892427219835,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.93853907219004,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042039600803795,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6647529092471098,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.93430675677489,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.004204582863482,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6602097381202213,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.93113348728315,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042050498690238,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6604539067367076,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.9279595482668,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042055170249856,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6586863836042568,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.9247889480606,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042059837413412,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6569335722320501,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.92055969110322,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042066063739324,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.651012992475234,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.9173877474826,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042070734089954,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6579773078637061,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.91527515899834,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042073844940154,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6671129699517405,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,70.91421765141422,35.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0042075402238328,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6600641617979266,0.85,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.80880207005308,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.8174281650343,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.9820785204051,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.1369659994352,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.09637532561533,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.1156217041986,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.756306363747,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.5076802782744,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.27160363718852,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,202.3194911934925,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.71420011072468,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.49136128354635,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.72274076683303,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.33960685287445,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,202.10604020439808,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.5718832211328,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.6003054589719,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.76387637600376,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.43435493210296,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.15683081903464,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.6609192053185,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,202.10552426050435,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.07745741421672,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.83508967068704,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.10295825645892,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.22774822834415,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.72270903288765,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.4260429840808,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.29797032968992,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,201.1253438799928,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.5958884212449,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,200.4962992571198,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,202.01944600071792,200.0,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,202.3000844267919,200.0,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6902619125479122,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6818538003396887,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6847880754592308,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6857757924788175,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6984547410761214,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6909552416753678,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6824752176028162,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.694101912531988,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6964537578202474,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6958237903812063,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6941759069421009,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.698041880130004,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6934339630055212,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6871116661418281,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6948531899282433,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6968933015122433,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6936772883486723,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6908922867006821,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6829892974540438,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6821609880849071,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.69307329631005,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6946977046709508,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6959207764707586,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6990975049287864,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6843446661320929,0.85,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6982315985198205,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.698648455916616,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6873681767963247,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6836962487026902,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.684310928960375,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6917598898928835,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.697286239445391,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6821112481667043,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6966760279958434,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6990854078725897,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6962748208555407,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6875640231858808,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6966441985704868,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6953886364002528,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6991778056138412,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6824754022281284,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6975700320984883,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,LOW_PF,Facteur de puissance faible,0.6977420014672283,0.85,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
