ts,v_sec,i_sec,p_sec,t_core,v_prim_rms,i_prim_rms,pf_prim,freq,status
1761660580.9103496,19.819,10.087,199.91,42.53,219.78,0.953,0.954,50.05,OK
1761660581.0114007,19.829,10.021,198.7,42.61,220.37,0.956,0.943,50.03,OK
1761660581.1132684,19.807,10.157,201.19,42.69,219.76,0.987,0.927,50.05,OK
1761660581.2145317,19.883,9.995,198.73,42.77,220.34,0.966,0.934,50.05,OK
1761660581.3154578,19.829,10.151,201.29,42.84,219.86,0.987,0.927,49.98,OK
1761660581.4165738,19.871,10.049,199.69,42.92,219.74,0.95,0.957,49.99,OK
1761660581.5184996,19.821,10.023,198.67,42.99,220.19,0.972,0.928,50.01,OK
1761660581.6197386,19.87,10.021,199.12,43.07,220.06,0.972,0.93,50.02,OK
1761660581.7207813,19.833,10.088,200.07,43.14,219.82,0.93,0.979,49.96,OK
1761660581.8224132,19.844,9.966,197.76,43.21,220.03,0.924,0.972,49.99,OK
1761660581.9237883,19.857,10.002,198.62,43.28,220.09,0.972,0.928,50.02,OK
1761660582.0252557,19.828,10.017,198.62,43.35,220.01,0.959,0.942,49.95,OK
1761660582.1263137,19.805,9.949,197.04,43.42,219.79,0.961,0.933,49.98,OK
1761660582.2277687,19.874,9.989,198.52,43.49,220.15,0.94,0.959,50.04,OK
1761660582.3291774,19.88,9.974,198.29,43.56,219.83,0.954,0.945,49.99,OK
1761660582.430778,19.838,9.962,197.64,43.63,219.82,0.92,0.977,50.04,OK
1761660582.532262,19.885,9.943,197.71,43.7,220.26,0.97,0.925,49.98,OK
1761660582.6332328,19.826,9.955,197.37,43.77,219.79,0.94,0.956,49.99,OK
1761660582.7347972,19.866,9.86,195.88,43.83,219.62,0.958,0.931,50.0,OK
1761660582.8360493,19.806,10.073,199.52,43.9,219.71,0.931,0.975,50.02,OK
1761660582.9375474,19.807,9.923,196.55,43.96,219.68,0.938,0.954,50.02,OK
1761660583.0389152,19.885,9.858,196.03,44.03,219.66,0.923,0.966,50.02,OK
1761660583.140245,19.792,10.053,198.97,44.09,219.72,0.937,0.966,50.04,OK
1761660583.24198,19.803,9.884,195.73,44.15,219.9,0.926,0.961,50.02,OK
1761660583.3433204,19.834,9.994,198.22,44.22,219.89,0.965,0.934,49.98,OK
1761660583.4443374,19.886,9.915,197.18,44.28,220.27,0.961,0.931,49.98,OK
1761660583.5475183,19.87,9.957,197.85,44.34,219.61,0.959,0.939,50.0,OK
1761660583.648566,19.846,9.908,196.63,44.4,220.19,0.93,0.96,49.96,OK
1761660583.7503793,19.815,9.933,196.82,44.46,220.15,0.957,0.934,50.0,OK
1761660583.8532195,19.864,9.871,196.08,44.52,220.22,0.929,0.958,49.95,OK
1761660583.9550729,19.887,9.965,198.16,44.58,220.06,0.94,0.958,49.98,OK
1761660584.0563188,19.82,9.994,198.08,44.63,219.93,0.923,0.976,49.98,OK
1761660584.157949,19.849,9.834,195.21,44.69,219.68,0.922,0.964,50.05,OK
1761660584.2594194,19.799,9.96,197.2,44.75,219.77,0.967,0.928,50.0,OK
1761660584.3607101,19.865,9.884,196.35,44.8,219.82,0.962,0.928,50.04,OK
1761660584.4620473,19.821,9.825,194.74,44.86,220.16,0.933,0.948,50.05,OK
1761660584.5638137,19.806,9.834,194.77,44.92,219.8,0.953,0.93,49.95,OK
1761660584.6649714,19.817,9.839,194.98,44.97,220.1,0.942,0.941,49.95,OK
1761660584.7669702,19.822,9.955,197.32,45.02,219.81,0.919,0.977,50.01,OK
1761660584.86832,19.885,9.904,196.94,45.08,220.34,0.952,0.939,49.98,OK
1761660584.9696398,19.857,9.963,197.85,45.13,219.66,0.931,0.967,49.99,OK
1761660585.0708394,19.85,9.848,195.48,45.18,220.33,0.927,0.957,50.03,OK
1761660585.1725714,19.841,9.814,194.71,45.24,220.32,0.937,0.943,50.01,OK
1761660585.2741005,19.849,9.948,197.45,45.29,219.9,0.959,0.936,49.98,OK
1761660585.3756208,19.82,9.892,196.07,45.34,219.65,0.921,0.969,49.96,OK
1761660585.4771557,19.845,9.841,195.3,45.39,219.73,0.918,0.968,50.02,OK
1761660585.5832617,19.878,9.799,194.78,45.44,219.65,0.933,0.95,50.0,OK
1761660585.6988175,19.795,9.859,195.17,45.49,219.68,0.955,0.93,50.04,OK
1761660585.800787,19.826,9.788,194.05,45.54,219.94,0.954,0.925,49.98,OK
1761660585.9358866,19.792,9.862,195.2,45.59,219.79,0.94,0.945,50.05,OK
1761660586.1364005,19.864,9.874,196.13,45.63,219.73,0.956,0.934,50.0,OK
1761660586.2400308,19.861,9.815,194.94,45.68,219.93,0.925,0.958,50.02,OK
1761660586.3487346,19.803,9.825,194.57,45.73,219.61,0.944,0.939,50.0,OK
1761660586.4501514,19.863,9.923,197.1,45.77,220.34,0.958,0.934,50.01,OK
1761660586.5538414,19.868,9.944,197.57,45.82,219.75,0.933,0.964,50.05,OK
1761660586.6550157,19.798,9.936,196.71,45.87,219.69,0.933,0.959,49.96,OK
1761660586.7561157,19.851,9.91,196.73,45.91,220.2,0.968,0.923,50.04,OK
1761660586.8597898,19.79,9.907,196.07,45.96,219.92,0.929,0.959,49.98,OK
1761660586.9635587,19.871,9.882,196.37,46.0,220.18,0.921,0.969,50.03,OK
1761660587.3435483,19.868,9.887,196.44,46.04,219.82,0.97,0.921,50.0,OK
1761660587.5406172,19.835,10.01,198.55,46.09,220.34,0.968,0.931,49.98,OK
1761660587.6517298,19.792,9.925,196.44,46.13,220.23,0.95,0.939,50.0,OK
1761660587.7541478,19.845,9.976,197.97,46.17,219.69,0.944,0.954,50.04,OK
1761660587.8558512,19.877,9.884,196.46,46.22,220.27,0.926,0.963,49.97,OK
1761660587.9573977,19.888,10.009,199.05,46.26,220.32,0.934,0.967,50.03,OK
1761660588.0585654,19.853,9.895,196.44,46.3,220.1,0.912,0.979,49.99,OK
1761660588.1599054,19.884,10.01,199.04,46.34,219.68,0.981,0.924,50.01,OK
1761660588.261814,19.863,10.036,199.33,46.38,219.98,0.967,0.937,50.03,OK
1761660588.3658957,19.866,9.98,198.27,46.42,219.81,0.924,0.976,49.96,OK
1761660588.4667416,19.855,10.049,199.52,46.46,220.06,0.951,0.953,49.98,OK
1761660588.5677795,19.846,9.978,198.01,46.5,219.87,0.971,0.927,50.03,OK
1761660588.669201,19.846,9.928,197.02,46.54,219.84,0.955,0.939,50.03,OK
1761660588.7709424,19.873,10.051,199.75,46.58,219.75,0.983,0.925,50.01,OK
1761660588.8725722,19.793,10.06,199.12,46.61,219.85,0.97,0.933,49.98,OK
1761660588.9740627,19.854,9.915,196.84,46.65,219.91,0.946,0.946,49.98,OK
1761660589.0753043,19.852,9.901,196.55,46.69,220.1,0.935,0.955,50.03,OK
1761660589.1762214,19.866,10.014,198.94,46.73,220.25,0.973,0.928,49.99,OK
1761660589.2781682,19.835,9.918,196.73,46.76,219.64,0.918,0.976,49.99,OK
1761660589.379538,19.859,10.081,200.2,46.8,220.03,0.943,0.965,49.95,OK
1761660589.4807732,19.824,10.036,198.96,46.83,219.83,0.976,0.928,50.03,OK
1761660589.581927,19.852,9.928,197.09,46.87,219.87,0.97,0.924,50.03,OK
1761660589.6829147,19.8,10.0,197.99,46.91,219.94,0.973,0.925,50.0,OK
1761660589.7849045,19.796,10.106,200.06,46.94,219.99,0.986,0.922,49.95,OK
1761660589.8866675,19.888,9.97,198.28,46.97,219.64,0.969,0.932,50.0,OK
1761660589.9879518,19.867,9.984,198.34,47.01,220.03,0.956,0.943,50.0,OK
1761660590.0895114,19.793,10.105,200.0,47.04,219.75,0.954,0.954,49.98,OK
1761660590.1907723,19.867,10.047,199.6,47.08,219.82,0.978,0.928,50.02,OK
1761660590.292516,19.878,10.064,200.06,47.11,219.95,0.954,0.953,49.96,OK
1761660590.3945172,19.82,10.037,198.93,47.14,219.87,0.937,0.966,49.98,OK
1761660590.4963377,19.871,10.173,202.15,47.17,219.9,0.992,0.927,49.96,OK
1761660590.5978634,19.853,10.03,199.13,47.21,220.05,0.973,0.93,50.0,OK
1761660590.7002633,19.797,10.156,201.05,47.24,220.02,0.969,0.943,49.97,OK
1761660590.8023024,19.882,10.055,199.91,47.27,219.88,0.964,0.943,50.01,OK
1761660590.9035008,19.878,10.093,200.64,47.3,219.69,0.938,0.974,49.97,OK
1761660591.0047784,19.859,10.201,202.58,47.33,219.92,0.941,0.979,49.96,OK
1761660591.1060388,19.805,10.094,199.91,47.36,219.96,0.944,0.963,49.98,OK
1761660591.207506,19.886,10.186,202.56,47.39,220.05,0.992,0.928,49.98,OK
1761660591.3091264,19.805,10.132,200.66,47.42,220.05,0.949,0.961,49.96,OK
1761660591.4103382,19.873,10.118,201.07,47.45,220.14,0.965,0.947,49.98,OK
1761660591.5118768,19.865,10.137,201.37,47.48,220.0,0.982,0.932,50.0,OK
1761660591.6134756,19.886,10.142,201.7,47.51,219.86,0.958,0.958,50.01,OK
1761660591.7145143,19.793,10.192,201.74,47.54,220.32,0.971,0.943,50.04,OK
1761660591.8157487,19.864,10.193,202.47,47.57,219.7,0.998,0.923,49.96,OK
1761660591.9174967,19.88,10.165,202.07,47.6,220.23,0.966,0.95,50.04,OK
1761660592.0194638,19.874,10.259,203.89,47.62,220.09,0.96,0.965,50.03,OK
1761660592.1206765,19.805,10.282,203.63,47.65,220.04,0.97,0.954,50.02,OK
1761660592.2221305,19.806,10.294,203.89,47.68,219.92,0.954,0.972,49.97,OK
1761660592.3233864,19.85,10.205,202.56,47.71,220.0,0.986,0.934,49.99,OK
1761660592.4248226,19.805,10.152,201.06,47.73,220.19,0.94,0.971,50.01,OK
1761660592.5262613,19.806,10.137,200.78,47.76,220.26,0.931,0.979,50.01,OK
1761660592.6272008,19.872,10.164,201.98,47.79,219.94,0.971,0.946,49.98,OK
1761660592.7290902,19.887,10.289,204.62,47.81,219.72,0.964,0.966,50.0,OK
1761660592.8307102,19.873,10.146,201.64,47.84,220.28,0.953,0.961,50.02,OK
1761660592.932401,19.877,10.15,201.75,47.86,220.31,0.942,0.972,50.04,OK
1761660593.0346608,19.856,10.176,202.06,47.89,220.21,0.944,0.972,50.0,OK
1761660593.136491,19.858,10.324,205.0,47.91,220.12,0.953,0.977,50.0,OK
1761660593.237988,19.828,10.332,204.88,47.94,219.71,1.007,0.926,49.99,OK
1761660593.3395772,19.796,10.293,203.75,47.96,219.79,0.983,0.943,49.99,OK
1761660593.4409297,19.874,10.337,205.44,47.99,219.68,0.976,0.958,49.99,OK
1761660593.5419414,19.84,10.308,204.51,48.01,220.3,0.954,0.973,50.0,OK
1761660593.6438384,19.813,10.339,204.84,48.03,220.3,0.998,0.932,50.01,OK
1761660593.7457244,19.844,10.196,202.32,48.06,219.97,0.968,0.95,50.05,OK
1761660593.847237,19.846,10.263,203.68,48.08,220.28,0.964,0.96,49.97,OK
1761660593.9484293,19.81,10.203,202.12,48.1,219.64,0.988,0.932,50.0,OK
1761660594.0497878,19.794,10.356,204.99,48.13,219.83,0.97,0.961,49.98,OK
1761660594.1524665,19.8,10.269,203.33,48.15,220.22,0.969,0.953,50.03,OK
1761660594.2536106,19.844,10.174,201.9,48.17,220.28,0.94,0.975,50.02,OK
1761660594.3559601,19.837,10.365,205.61,48.19,219.74,0.993,0.942,50.02,OK
1761660594.457293,19.874,10.252,203.76,48.22,219.89,0.98,0.946,49.98,OK
1761660594.5588458,19.884,10.186,202.54,48.24,220.39,0.993,0.926,50.03,OK
1761660594.6602888,19.843,10.346,205.3,48.26,219.89,0.99,0.943,50.02,OK
1761660594.7619553,19.808,10.369,205.39,48.28,220.27,0.954,0.977,50.01,OK
1761660594.8627424,19.821,10.22,202.58,48.3,220.16,0.976,0.942,49.98,OK
1761660594.96368,19.854,10.282,204.14,48.32,219.74,0.976,0.952,50.01,OK
1761660595.064548,19.888,10.164,202.14,48.34,219.72,0.979,0.94,49.96,OK
1761660595.1657584,19.795,10.382,205.5,48.36,219.87,0.955,0.979,50.01,OK
1761660595.2672098,19.844,10.261,203.62,48.38,219.63,0.987,0.939,50.03,OK
1761660595.3685067,19.881,10.18,202.39,48.4,219.62,0.946,0.974,49.99,OK
1761660595.4699647,19.842,10.354,205.46,48.42,219.77,1.009,0.926,50.02,OK
1761660595.571306,19.819,10.324,204.6,48.44,219.68,0.958,0.972,50.02,OK
1761660595.672375,19.889,10.214,203.16,48.46,220.08,0.964,0.957,49.95,OK
1761660595.7734692,19.865,10.287,204.34,48.48,220.18,0.98,0.947,49.98,OK
1761660595.8746142,19.853,10.237,203.24,48.5,219.95,0.981,0.942,49.98,OK
1761660595.9758542,19.883,10.289,204.57,48.52,219.69,0.984,0.947,49.99,OK
1761660596.0765595,19.834,10.22,202.71,48.54,220.26,0.978,0.941,50.0,OK
1761660596.1776388,19.827,10.241,203.06,48.56,220.24,0.949,0.971,50.01,OK
1761660596.2788506,19.878,10.311,204.97,48.58,219.97,1.007,0.925,50.0,OK
1761660596.3811364,19.888,10.322,205.29,48.59,220.06,0.973,0.958,50.03,OK
1761660596.4824486,19.811,10.214,202.35,48.61,220.15,0.966,0.952,50.02,OK
1761660596.586262,19.819,10.306,204.25,48.63,219.95,0.957,0.97,50.04,OK
1761660596.6885931,19.849,10.228,203.03,48.65,219.85,0.956,0.966,50.03,OK
1761660596.791927,19.876,10.148,201.7,48.66,220.01,0.938,0.978,49.99,OK
1761660596.8946135,19.822,10.218,202.55,48.68,219.77,0.976,0.944,50.01,OK
1761660596.995935,19.867,10.233,203.3,48.7,219.9,0.982,0.941,49.95,OK
1761660597.0967722,19.795,10.343,204.74,48.72,220.3,0.969,0.959,50.02,OK
1761660597.1980252,19.862,10.272,204.02,48.73,219.62,0.971,0.956,49.99,OK
1761660597.2991602,19.839,10.134,201.04,48.75,219.69,0.938,0.975,49.95,OK
1761660597.4005442,19.87,10.176,202.19,48.77,220.19,0.96,0.956,50.01,OK
1761660597.5018654,19.806,10.153,201.09,48.78,219.9,0.989,0.924,50.02,OK
1761660597.6030881,19.809,10.148,201.02,48.8,220.3,0.975,0.936,50.03,OK
1761660597.7042534,19.841,10.132,201.03,48.81,219.7,0.965,0.948,49.97,OK
1761660597.8053017,19.865,10.252,203.66,48.83,219.9,0.983,0.942,49.95,OK
1761660597.9079406,19.872,10.193,202.56,48.84,219.98,0.962,0.958,50.01,OK
1761660598.0090048,19.866,10.078,200.21,48.86,220.03,0.956,0.952,49.98,OK
1761660598.1100914,19.835,10.113,200.59,48.88,220.21,0.97,0.939,49.95,OK
1761660598.211511,19.866,10.135,201.35,48.89,219.72,0.982,0.933,50.01,OK
1761660598.3130755,19.84,10.137,201.12,48.91,219.85,0.958,0.954,50.04,OK
1761660598.4142842,19.809,10.244,202.92,48.92,219.99,0.954,0.967,49.98,OK
1761660598.515237,19.847,10.141,201.27,48.93,220.24,0.955,0.957,50.0,OK
1761660598.61703,19.811,10.206,202.19,48.95,219.65,0.966,0.953,49.99,OK
1761660598.71866,19.874,10.151,201.75,48.96,219.78,0.991,0.926,50.03,OK
1761660598.8204184,19.844,10.124,200.89,48.98,220.1,0.973,0.938,50.04,OK
1761660598.9214911,19.794,10.183,201.56,48.99,219.94,0.993,0.922,50.0,OK
1761660599.0226705,19.876,10.078,200.31,49.01,219.96,0.986,0.923,49.98,OK
1761660599.124059,19.86,10.037,199.33,49.02,220.18,0.956,0.947,50.04,OK
1761660599.225421,19.878,10.022,199.23,49.03,219.67,0.957,0.947,49.96,OK
1761660599.327336,19.86,10.095,200.49,49.05,219.81,0.991,0.921,50.05,OK
1761660599.4286036,19.836,10.177,201.87,49.06,220.3,0.981,0.934,49.96,OK
1761660599.5300527,19.835,10.104,200.42,49.07,220.11,0.969,0.939,50.01,OK
1761660599.6312356,19.807,10.127,200.58,49.09,220.21,0.95,0.959,50.04,OK
1761660599.7324615,19.803,10.149,200.99,49.1,220.09,0.939,0.973,49.96,OK
1761660599.8339255,19.851,10.085,200.19,49.11,220.3,0.929,0.979,49.99,OK
1761660599.935758,19.841,10.001,198.44,49.13,220.27,0.926,0.973,50.04,OK
1761660600.0376651,19.796,10.174,201.41,49.14,220.19,0.957,0.956,49.99,OK
1761660600.143957,19.834,10.095,200.22,49.15,220.25,0.947,0.96,50.04,OK
1761660600.2456532,19.809,10.137,200.81,49.16,220.05,0.991,0.921,49.98,OK
1761660600.3473814,19.83,10.008,198.46,49.18,219.76,0.975,0.926,49.97,OK
1761660600.4487495,19.832,10.032,198.95,49.19,220.23,0.942,0.959,50.05,OK
1761660600.5501935,19.817,10.006,198.29,49.2,219.77,0.966,0.934,50.02,OK
1761660600.6515734,19.793,10.041,198.73,49.21,219.79,0.936,0.966,49.98,OK
1761660600.7531996,19.847,10.016,198.79,49.22,219.74,0.963,0.94,50.05,OK
1761660600.8545544,19.885,9.891,196.67,49.24,219.95,0.955,0.936,49.99,OK
1761660600.9558408,19.828,9.948,197.26,49.25,219.76,0.969,0.926,50.02,OK
1761660601.0573852,19.882,9.888,196.58,49.26,220.32,0.963,0.927,49.99,OK
1761660601.1585922,19.878,9.978,198.35,49.27,220.18,0.978,0.921,49.99,OK
1761660601.259879,19.815,10.02,198.54,49.28,219.88,0.969,0.932,50.03,OK
1761660601.361338,19.846,9.902,196.52,49.29,219.89,0.967,0.924,50.01,OK
1761660601.462883,19.83,9.886,196.04,49.3,219.97,0.955,0.933,50.01,OK
1761660601.564432,19.857,9.99,198.38,49.31,220.29,0.921,0.978,50.0,OK
1761660601.6658099,19.846,9.883,196.15,49.32,219.88,0.92,0.97,50.04,OK
1761660601.767158,19.825,9.976,197.77,49.33,220.34,0.957,0.937,50.02,OK
1761660601.8683088,19.849,9.886,196.23,49.35,220.03,0.91,0.98,50.0,OK
1761660601.9695919,19.82,9.912,196.46,49.36,220.13,0.956,0.934,50.03,OK
1761660602.0703511,19.862,9.862,195.88,49.37,220.23,0.949,0.937,49.95,OK
1761660602.1717668,19.798,10.01,198.18,49.38,219.64,0.95,0.95,49.98,OK
1761660602.2731214,19.867,9.958,197.84,49.39,220.24,0.967,0.929,49.97,OK
1761660602.374934,19.827,10.01,198.47,49.4,219.98,0.947,0.953,50.02,OK
1761660602.4759514,19.859,9.861,195.83,49.41,220.21,0.961,0.925,50.03,OK
1761660602.5775068,19.864,9.891,196.47,49.42,220.36,0.92,0.969,49.96,OK
1761660602.67863,19.798,10.02,198.37,49.43,219.74,0.972,0.929,50.0,OK
1761660602.779664,19.88,9.937,197.55,49.44,220.2,0.953,0.942,49.99,OK
1761660602.8811653,19.887,9.946,197.8,49.45,220.04,0.963,0.933,50.01,OK
1761660602.982425,19.871,9.877,196.27,49.45,220.37,0.957,0.931,50.03,OK
1761660603.0839977,19.862,9.966,197.95,49.46,219.81,0.968,0.931,50.02,OK
1761660603.1857753,19.814,9.933,196.82,49.47,220.02,0.969,0.923,50.03,OK
1761660603.2875438,19.832,9.955,197.42,49.48,220.05,0.93,0.964,50.01,OK
1761660603.3893087,19.857,9.837,195.34,49.49,220.06,0.942,0.942,50.02,OK
1761660603.4910717,19.795,9.878,195.54,49.5,219.95,0.915,0.971,50.01,OK
1761660603.5923846,19.801,9.924,196.51,49.51,220.16,0.917,0.974,49.97,OK
1761660603.694045,19.867,9.825,195.2,49.52,220.38,0.954,0.928,49.96,OK
1761660603.7956805,19.878,9.775,194.3,49.53,220.32,0.916,0.962,49.97,OK
1761660603.89754,19.88,9.839,195.61,49.54,220.39,0.959,0.925,50.01,OK
1761660603.9988778,19.884,9.826,195.38,49.54,220.26,0.936,0.948,49.96,OK
1761660604.1008558,19.826,9.942,197.11,49.55,220.0,0.918,0.975,50.05,OK
1761660604.2021446,19.85,9.894,196.4,49.56,219.96,0.953,0.937,49.99,OK
1761660604.3037221,19.885,9.842,195.71,49.57,220.31,0.931,0.955,50.01,OK
1761660604.4046733,19.858,9.859,195.77,49.58,220.01,0.966,0.921,50.04,OK
1761660604.5061133,19.803,9.872,195.5,49.59,219.95,0.925,0.961,50.0,OK
1761660604.6071599,19.882,9.769,194.22,49.59,219.65,0.957,0.924,49.97,OK
1761660604.708721,19.883,9.891,196.65,49.6,220.21,0.918,0.972,49.97,OK
1761660604.8106592,19.841,9.916,196.75,49.61,219.75,0.917,0.976,50.01,OK
1761660604.9117026,19.825,9.989,198.03,49.62,220.18,0.958,0.939,50.0,OK
1761660605.013105,19.845,9.856,195.59,49.62,220.03,0.908,0.979,50.0,OK
1761660605.1148467,19.868,9.969,198.08,49.63,219.65,0.921,0.98,50.02,OK
1761660605.216549,19.803,9.984,197.71,49.64,219.82,0.946,0.951,50.04,OK
1761660605.3177426,19.81,9.831,194.75,49.65,220.12,0.932,0.949,50.04,OK
1761660605.419004,19.827,9.84,195.09,49.66,219.88,0.931,0.953,49.96,OK
1761660605.5206912,19.832,9.894,196.21,49.66,220.04,0.966,0.923,50.0,OK
1761660605.6217024,19.825,9.839,195.06,49.67,220.13,0.922,0.961,49.96,OK
1761660605.7232223,19.856,9.946,197.48,49.68,220.31,0.962,0.931,50.03,OK
1761660605.8245087,19.84,9.908,196.57,49.68,220.23,0.969,0.921,50.0,OK
1761660605.9254813,19.882,9.794,194.72,49.69,220.07,0.91,0.972,50.05,OK
1761660606.026802,19.818,9.822,194.65,49.7,220.04,0.946,0.935,49.99,OK
1761660606.1280077,19.791,10.021,198.33,49.7,220.32,0.971,0.927,50.03,OK
1761660606.228904,19.838,9.879,195.99,49.71,219.92,0.958,0.93,49.99,OK
1761660606.3300202,19.871,9.932,197.37,49.72,219.8,0.923,0.973,49.96,OK
1761660606.431343,19.89,9.861,196.14,49.73,220.17,0.936,0.952,49.97,OK
1761660606.5325947,19.809,9.995,197.99,49.73,219.98,0.955,0.942,50.02,OK
1761660606.6340637,19.792,9.992,197.75,49.74,219.73,0.964,0.933,50.0,OK
1761660606.7350574,19.807,9.987,197.81,49.75,219.63,0.925,0.974,49.97,OK
1761660606.8363948,19.854,9.843,195.42,49.75,220.19,0.944,0.94,49.99,OK
