equipment_code,ttf_h,duree_rep_h
TR-04,1450.98,5.68
TR-03,267.13,6.36
TR-02,252.77,3.73
TR-04,671.58,5.32
TR-04,823.85,3.89
TR-01,287.9,1.06
TR-04,944.86,2.41
TR-01,498.92,2.77
TR-01,8058.84,3.23
TR-03,370.99,4.66
TR-03,1137.17,2.88
TR-01,1651.11,1.53
TR-03,2569.65,4.06
TR-01,376.49,3.17
TR-05,1007.59,5.21
TR-03,1825.21,4.01
TR-03,1807.76,4.42
TR-01,9.99,3.69
TR-03,63.03,3.16
TR-01,283.12,8.54
TR-02,623.89,11.51
TR-04,1577.7,1.89
TR-01,1844.28,4.13
TR-05,973.55,3.5
TR-01,45.6,3.45
TR-02,2020.91,3.64
TR-05,905.34,3.12
TR-05,987.41,1.46
TR-04,1078.51,1.48
TR-01,366.34,1.19
TR-01,1136.88,1.5
TR-01,276.72,1.6
TR-01,1244.13,3.15
TR-05,421.85,2.7
TR-03,425.84,5.85
TR-05,659.01,4.01
TR-02,88.58,4.37
TR-01,28.17,3.38
TR-05,516.02,4.98
TR-04,1325.93,5.21
TR-02,614.4,1.96
TR-01,3747.63,3.94
TR-01,1819.75,1.59
TR-04,1238.93,10.91
TR-05,774.49,1.68
TR-01,1009.98,2.21
TR-02,495.14,1.66
TR-02,3393.83,1.91
TR-01,3007.74,1.91
TR-03,411.89,4.16
TR-01,472.22,2.37
TR-01,6.88,1.7
TR-02,1057.0,3.13
TR-01,3683.52,2.27
TR-02,1572.19,3.04
TR-05,724.22,3.67
TR-01,536.5,1.07
TR-03,1589.68,4.76
TR-05,627.84,3.26
TR-03,1799.2,3.63
TR-04,806.94,2.4
TR-03,1406.64,7.5
TR-04,925.79,1.1
TR-04,1421.3,3.45
TR-02,26.78,2.41
TR-03,427.67,3.02
TR-03,1475.87,4.23
TR-03,2165.96,5.32
TR-02,605.64,4.07
TR-04,912.1,1.84
TR-02,787.66,6.02
TR-02,213.03,1.45
TR-03,1079.96,3.06
TR-01,1330.72,2.45
TR-04,1374.48,4.18
TR-03,2134.44,2.77
TR-05,819.87,3.49
TR-04,761.95,3.28
TR-01,13.06,1.85
TR-01,1101.06,6.65
TR-02,2474.95,1.87
TR-03,3360.57,4.11
TR-01,2012.05,1.08
TR-05,846.81,1.98
TR-02,31.23,3.48
TR-02,846.1,10.23
TR-02,1042.85,6.83
TR-01,1977.64,4.28
TR-04,1020.25,3.73
TR-01,1953.47,0.64
TR-01,148.46,1.53
TR-04,487.21,1.65
TR-01,3894.67,2.68
TR-03,7.39,2.27
TR-02,262.15,1.91
TR-02,641.61,2.4
TR-05,629.29,2.16
TR-03,934.64,6.96
TR-02,2738.58,5.47
TR-04,1474.22,4.68
TR-03,654.97,5.15
TR-04,764.54,2.37
TR-05,777.05,4.97
TR-05,784.57,2.59
TR-05,817.02,5.82
TR-03,273.06,2.15
TR-02,137.21,6.48
TR-03,1831.78,3.52
TR-01,1066.9,4.63
TR-04,1180.73,2.47
TR-05,590.78,12.01
TR-01,6.94,2.1
TR-03,487.58,4.64
TR-05,725.87,2.5
TR-01,1016.88,3.49
TR-05,971.34,2.74
TR-01,39.4,2.75
TR-05,482.85,3.27
TR-04,479.97,7.17
TR-04,867.79,1.32
TR-01,4186.05,6.31
TR-03,2807.62,3.82
TR-04,1228.21,3.52
TR-01,80.27,3.76
TR-05,439.86,4.5
TR-04,1171.09,4.03
TR-03,816.16,1.82
TR-02,292.52,4.44
TR-05,551.55,5.49
TR-05,958.47,3.31
TR-02,1229.2,2.66
TR-05,819.45,1.81
TR-02,99.12,3.73
TR-02,2792.29,3.85
TR-03,719.12,9.37
TR-02,579.04,4.46
TR-03,2693.06,2.9
TR-04,1017.12,1.1
TR-02,2115.38,2.42
TR-01,210.26,1.51
TR-01,392.52,3.77
TR-05,798.53,4.04
TR-05,716.99,3.67
TR-01,654.31,7.1
TR-04,1547.36,6.5
TR-04,1509.76,4.81
TR-03,1315.12,3.97
TR-04,848.68,4.02
TR-05,990.77,4.86
TR-02,214.04,2.22
TR-01,1349.34,1.64
TR-04,1145.37,10.36
TR-04,1539.15,2.24
TR-02,2863.4,6.23
TR-04,1352.27,4.44
TR-01,481.57,1.89
TR-04,214.17,2.98
TR-01,303.78,2.99
TR-05,723.05,5.08
TR-02,162.74,4.33
TR-04,673.14,7.74
TR-03,3501.35,2.47
TR-03,840.35,5.99
TR-02,73.72,4.49
TR-02,76.85,2.02
TR-02,1152.0,2.14
TR-03,1586.01,3.56
TR-05,822.29,5.76
TR-02,1064.08,6.61
TR-01,349.92,7.2
TR-03,231.81,4.4
TR-04,1471.73,3.95
TR-01,494.99,5.17
TR-03,642.56,1.69
TR-04,1044.94,1.67
TR-02,3386.21,2.12
TR-05,955.3,6.33
TR-01,1314.01,5.17
TR-05,452.44,4.12
TR-03,1692.51,3.99
TR-02,1218.58,2.29
TR-01,0.74,2.14
TR-01,397.53,4.9
TR-05,513.76,6.88
TR-02,970.77,4.34
TR-01,989.09,3.99
TR-04,1050.75,7.46
TR-04,531.41,4.84
TR-03,1228.11,2.52
TR-01,2702.8,3.95
TR-01,46.83,5.85
TR-04,431.2,4.41
TR-03,1507.57,5.09
TR-02,544.62,6.57
TR-02,1112.7,4.16
TR-05,515.0,2.68
TR-02,1992.4,3.55
TR-02,348.92,2.78
TR-02,1841.23,9.4
TR-03,907.51,3.58
TR-02,1836.03,1.97
TR-04,1480.8,4.28
TR-03,1966.13,17.6
TR-03,1624.29,5.85
TR-02,54.08,4.25
TR-03,1723.64,4.87
TR-05,419.8,8.07
TR-04,975.32,1.59
TR-04,1029.26,1.83
TR-04,1286.17,5.83
TR-05,754.28,2.22
TR-01,5489.43,5.42
TR-01,83.53,1.65
TR-02,100.2,2.84
TR-02,1930.03,1.83
TR-04,455.98,1.31
TR-04,1069.18,4.66
TR-05,620.44,7.01
TR-05,778.62,8.63
TR-01,402.05,2.02
TR-05,658.24,2.88
TR-02,701.32,5.15
TR-01,3712.43,6.28
TR-02,188.44,4.55
TR-02,2496.61,2.3
TR-03,1205.01,2.08
TR-02,604.89,4.62
TR-04,987.31,4.72
TR-03,636.95,4.8
TR-05,819.73,4.86
TR-03,556.4,2.76
TR-02,781.23,7.28
TR-05,512.07,3.76
TR-04,1286.43,4.93
TR-01,725.61,2.17
TR-04,781.11,3.54
TR-03,1204.22,4.27
TR-01,2187.69,5.38
TR-02,1590.76,3.58
TR-01,174.72,2.46
TR-01,2004.95,3.19
TR-03,758.78,2.01
TR-05,1015.13,1.62
TR-02,1097.93,3.7
TR-05,785.14,3.94
TR-01,1330.66,1.91
TR-02,1023.6,3.65
TR-02,441.41,4.7
TR-04,1383.02,2.27
TR-03,790.49,1.41
TR-04,1161.32,5.12
TR-05,813.22,2.89
TR-01,1047.36,1.49
TR-05,453.74,6.84
TR-04,770.54,4.24
TR-01,337.01,0.79
TR-01,1338.84,1.74
TR-02,586.7,2.08
TR-03,1548.64,1.84
TR-03,1872.01,2.85
TR-01,71.94,3.06
TR-05,539.62,3.79
TR-03,478.49,4.35
TR-04,1263.19,3.7
TR-02,2061.01,2.22
TR-02,1193.4,7.08
TR-02,159.34,2.57
TR-04,421.24,3.09
TR-03,1440.12,3.36
TR-04,955.3,2.75
TR-04,835.5,6.4
TR-02,871.51,1.74
TR-05,741.04,1.61
TR-01,538.51,1.76
TR-03,485.02,4.89
TR-01,37.94,4.02
TR-04,1756.47,1.7
TR-05,1057.95,1.97
TR-03,1956.67,2.4
TR-03,1598.04,1.83
TR-04,1084.66,4.09
TR-02,49.34,4.92
TR-04,1235.78,5.42
TR-04,921.56,3.72
TR-03,1035.85,6.8
TR-03,749.4,2.68
TR-05,966.48,3.85
TR-03,2927.3,3.37
TR-03,469.68,4.61
TR-05,822.71,7.59
TR-01,831.78,1.46
TR-04,672.15,4.45
TR-02,2466.06,4.09
TR-02,778.76,7.58
TR-05,780.91,2.61
TR-03,1620.73,4.63
TR-05,743.72,5.15
TR-01,1897.52,4.52
TR-03,13.54,2.72
TR-05,709.8,4.89
TR-01,75.11,1.61
TR-05,842.08,4.36
TR-03,2820.04,6.94
TR-05,951.09,2.88
TR-05,522.94,3.46
TR-02,2577.51,8.08
TR-02,1060.08,2.64
TR-02,699.72,3.32
TR-03,680.74,2.53
TR-03,246.54,2.98
TR-03,1036.17,2.68
TR-02,1104.98,2.09
TR-01,2073.56,3.0
TR-02,979.39,11.0
TR-05,810.24,1.23
TR-02,1001.7,1.28
TR-02,1536.45,6.21
TR-04,518.77,9.26
TR-02,2276.22,2.54
TR-04,1671.56,3.85
TR-04,657.99,2.7
TR-01,237.34,5.79
TR-03,926.56,1.92
TR-01,644.07,1.92
TR-02,185.84,3.14
TR-04,1640.25,4.18
TR-02,889.3,4.38
TR-02,1158.49,2.9
TR-05,790.59,2.7
TR-02,643.01,5.11
TR-01,1458.25,3.32
TR-02,522.68,5.69
TR-03,2285.73,1.29
TR-04,1098.66,2.07
TR-01,202.09,1.31
TR-02,59.9,2.53
TR-05,849.94,5.47
TR-04,1110.67,2.15
TR-01,21.27,4.02
TR-01,627.83,1.73
TR-01,1442.12,1.49
TR-05,900.81,2.78
TR-03,1374.57,4.79
TR-03,1030.59,5.57
TR-01,241.15,3.4
TR-03,528.75,3.19
TR-03,3910.18,4.07
TR-01,13.99,5.31
TR-03,1099.29,4.25
TR-03,2217.13,2.68
TR-02,695.47,2.46
TR-03,2238.88,1.74
TR-04,698.38,2.11
TR-01,2933.36,1.21
TR-04,1394.33,2.24
TR-02,1351.17,4.52
TR-01,2623.51,4.63
TR-02,76.86,3.92
TR-05,624.89,4.74
TR-05,561.61,2.73
TR-01,458.39,1.93
TR-05,797.19,1.33
TR-03,529.24,8.27
TR-01,277.05,11.45
TR-03,3581.89,1.87
TR-04,1311.9,5.79
TR-01,38.6,3.43
TR-04,1409.01,1.58
TR-05,777.49,2.64
TR-05,777.9,0.88
TR-03,78.53,3.75
TR-05,730.09,9.04
TR-05,954.71,1.33
TR-02,108.08,10.14
TR-03,2124.26,2.96
TR-04,761.05,1.44
TR-02,63.01,4.14
TR-01,97.8,2.68
TR-01,696.93,2.26
TR-04,857.39,2.45
TR-01,2182.8,1.77
TR-01,2047.07,3.41
TR-01,6383.88,1.14
TR-04,754.24,5.92
TR-02,845.53,2.41
TR-01,123.52,5.6
TR-05,480.62,2.65
TR-05,852.79,2.44
TR-05,631.26,5.63
TR-04,1522.36,3.99
TR-01,605.57,2.26
TR-02,25.39,4.67
TR-05,671.6,7.3
TR-01,892.0,3.81
TR-03,385.21,2.39
TR-03,355.13,8.13
TR-05,569.07,8.37
TR-05,803.04,3.24
TR-04,602.81,6.7
TR-02,298.9,4.9
TR-05,837.37,2.12
TR-01,1783.95,2.02
TR-04,1066.28,2.12
TR-01,174.33,2.61
TR-02,508.63,1.22
TR-01,348.62,2.55
TR-02,637.81,6.9
TR-02,2058.21,1.64
TR-03,2084.87,2.79
TR-03,714.71,4.36
TR-04,1076.41,2.88
TR-02,943.22,7.82
TR-04,1531.08,4.68
TR-03,527.43,6.76
TR-02,107.95,3.04
TR-05,894.84,5.45
TR-03,952.79,3.73
TR-05,701.92,2.26
TR-03,210.79,3.03
TR-04,378.5,1.08
TR-02,615.92,2.79
TR-01,608.0,1.41
TR-03,82.48,2.53
TR-05,643.62,3.16
TR-01,3889.28,2.12
TR-04,899.99,6.92
TR-03,1513.09,2.6
TR-01,129.11,4.27
TR-05,664.58,4.41
TR-05,1147.16,5.54
TR-01,116.35,2.01
TR-04,895.67,3.21
TR-03,818.91,4.51
TR-03,546.77,3.1
TR-03,907.14,3.27
TR-05,549.17,4.35
TR-03,1722.74,3.01
TR-03,585.67,8.38
TR-04,936.38,4.22
TR-04,1171.4,2.7
TR-02,934.74,1.68
TR-03,1155.04,3.94
TR-01,448.95,4.93
TR-02,525.7,3.46
TR-05,680.82,3.31
TR-04,1234.19,4.04
TR-02,975.57,1.83
TR-03,1999.94,5.94
TR-05,891.84,8.24
TR-02,1572.31,3.89
TR-05,803.63,2.74
TR-01,463.73,3.05
TR-03,280.11,3.3
TR-04,1249.49,3.15
TR-03,2460.52,8.16
TR-01,64.68,4.24
TR-05,614.95,5.04
TR-05,639.85,2.24
TR-02,100.3,2.14
TR-02,1095.25,2.27
TR-01,995.85,2.5
TR-02,1253.75,4.29
TR-02,860.21,5.38
TR-03,2420.72,7.19
TR-04,1552.65,2.11
TR-01,1950.89,1.27
TR-04,1807.03,5.98
TR-02,1255.56,7.24
TR-03,997.11,2.1
TR-04,813.25,1.66
TR-05,725.86,7.01
TR-03,461.42,1.8
TR-02,831.68,2.96
TR-03,788.04,1.93
TR-02,394.76,5.38
TR-02,1114.92,2.65
TR-01,1132.62,2.22
TR-02,67.33,2.96
TR-05,406.79,3.36
TR-02,1990.83,4.31
TR-02,100.86,1.93
TR-05,890.82,2.78
TR-02,2100.79,3.16
TR-05,655.84,5.08
TR-02,1451.74,2.83
TR-02,2116.88,9.51
TR-04,949.45,6.02
TR-02,497.36,3.3
TR-01,2147.69,1.7
TR-04,1052.27,3.6
TR-05,869.97,10.69
TR-05,937.91,6.94
TR-01,485.14,1.07
TR-03,1893.78,4.59
TR-02,3297.47,6.46
TR-04,597.32,3.48
TR-03,2039.31,5.51
TR-05,539.21,8.17
TR-04,642.48,5.17
TR-03,817.87,4.51
TR-04,425.47,9.21
TR-05,806.65,5.41
TR-04,977.84,8.51
TR-02,569.47,2.72
TR-02,421.73,5.72
TR-05,899.65,2.27
TR-01,805.33,3.04
TR-01,337.18,3.4
TR-03,753.98,0.94
TR-01,834.9,4.03
TR-03,1693.46,7.06
TR-01,606.24,1.19
TR-01,154.68,2.22
TR-04,1189.57,3.88
TR-03,186.48,3.08
TR-03,1316.66,2.99
TR-04,678.41,5.99
TR-05,794.0,5.17
TR-01,161.67,4.45
TR-05,1062.93,1.77
TR-04,1681.19,4.89
TR-02,587.81,2.42
TR-02,3856.4,3.04
TR-01,2727.72,2.42
TR-01,345.08,1.7
TR-05,914.89,3.58
TR-01,264.5,3.23
TR-01,343.97,1.47
TR-01,77.45,3.39
TR-03,1064.67,3.29
TR-05,765.04,5.13
TR-02,702.3,3.74
TR-02,1317.81,4.58
TR-03,1129.01,6.6
TR-03,948.54,1.45
TR-03,1003.86,3.97
TR-01,5382.94,3.54
TR-02,1453.23,8.57
TR-03,730.69,2.1
TR-02,1001.24,4.08
TR-03,2419.14,1.3
TR-04,428.48,3.08
TR-05,632.69,2.85
TR-01,1921.49,1.87
TR-05,651.77,3.41
TR-03,2503.52,5.19
TR-03,1124.49,2.51
TR-05,502.35,5.87
TR-04,1171.15,0.87
TR-02,3709.79,4.26
TR-02,726.57,4.5
TR-05,804.93,3.57
TR-05,810.38,3.69
TR-05,677.19,7.29
TR-03,2107.28,2.47
TR-05,569.33,5.22
TR-02,70.46,3.52
TR-03,1629.04,4.4
TR-02,245.24,5.28
TR-05,466.61,8.6
TR-01,700.7,1.87
TR-05,877.48,4.47
TR-03,1779.07,1.36
TR-01,3141.21,5.28
TR-01,266.84,2.31
TR-03,523.41,3.99
TR-05,822.36,0.75
TR-05,553.5,5.6
TR-01,24.35,0.99
TR-02,1402.75,4.66
TR-01,261.99,2.58
TR-03,810.91,2.02
TR-03,291.15,4.11
TR-03,487.48,9.52
TR-05,895.9,2.35
TR-04,518.62,2.11
TR-02,308.62,3.42
TR-02,247.9,3.26
TR-05,1024.97,1.77
TR-05,759.38,3.13
TR-01,1010.52,2.35
TR-03,2061.36,3.1
TR-04,1213.17,4.69
TR-05,858.46,2.25
TR-04,1167.16,3.55
TR-04,625.59,2.07
TR-02,4181.04,8.22
TR-02,197.05,5.13
TR-04,798.69,3.72
TR-03,1204.85,3.67
TR-05,439.42,3.74
TR-05,584.74,7.35
TR-03,3182.41,8.32
TR-02,389.33,3.77
TR-03,1495.82,6.28
TR-04,572.18,5.16
TR-02,1949.53,6.61
TR-03,851.07,3.38
TR-04,379.83,6.11
TR-05,899.96,4.38
TR-03,1643.38,2.8
TR-02,233.98,2.99
TR-03,1473.78,1.48
TR-02,1287.89,2.15
TR-03,392.42,4.69
TR-04,1046.04,2.38
TR-05,847.15,3.54
TR-02,2016.63,5.65
TR-04,564.02,2.02
TR-04,1051.09,3.11
TR-04,701.35,4.66
TR-04,444.36,2.93
TR-03,2392.52,4.36
TR-04,1129.55,2.04
TR-05,857.3,2.9
TR-05,356.82,6.3
TR-02,1141.18,9.58
TR-02,455.36,2.79
TR-01,2066.49,3.91
TR-03,1138.41,1.72
TR-02,1338.61,2.24
TR-05,544.3,5.34
TR-04,785.19,6.62
TR-03,1135.81,2.24
TR-03,1991.53,4.84
TR-01,1073.67,3.06
TR-01,133.65,2.94
TR-02,50.96,3.09
TR-04,1035.15,4.66
TR-01,113.38,2.99
TR-02,1057.07,2.81
TR-03,1684.95,4.99
TR-04,1557.0,4.37
TR-03,540.02,4.76
TR-05,551.24,3.57
TR-04,439.88,2.82
TR-05,902.32,3.21
TR-01,517.55,4.17
TR-02,935.43,0.99
TR-01,1933.32,4.44
TR-02,133.77,2.2
TR-02,3971.87,1.27
TR-05,535.05,4.78
TR-02,2524.81,3.94
TR-05,632.46,3.3
TR-02,1179.08,2.65
TR-01,1477.62,4.61
TR-05,581.82,3.21
TR-02,1239.24,6.25
TR-01,1119.28,4.73
TR-04,690.07,1.64
TR-04,575.92,2.7
TR-02,1049.98,3.32
TR-04,1330.46,3.46
TR-03,888.98,6.11
TR-05,830.95,2.72
TR-05,677.95,4.72
TR-04,394.71,2.95
TR-04,568.71,10.39
TR-02,1032.41,2.49
TR-01,1371.14,2.22
TR-04,780.03,2.97
TR-04,550.78,2.54
TR-01,15.11,6.24
TR-03,1564.15,2.89
TR-01,363.04,2.28
TR-04,865.94,2.62
TR-05,763.3,3.61
TR-04,1189.11,1.3
TR-04,985.32,5.11
TR-02,579.88,3.33
TR-02,401.8,3.49
TR-01,271.37,3.9
TR-02,197.07,7.01
TR-02,170.12,2.45
TR-02,271.22,2.43
TR-02,575.49,1.85
TR-03,961.88,2.33
TR-05,522.84,4.06
TR-03,876.83,5.35
TR-03,1432.28,3.68
TR-04,1481.8,2.12
TR-01,605.96,3.46
TR-05,835.92,2.37
TR-04,1246.16,3.06
TR-04,646.9,6.23
TR-01,3267.28,2.84
TR-05,467.76,3.63
TR-05,1033.37,5.39
TR-03,2128.94,2.98
TR-05,646.88,2.86
TR-05,637.17,0.85
TR-02,1680.34,3.97
TR-02,281.09,5.01
TR-03,1959.66,3.69
TR-05,721.36,4.49
TR-03,610.34,3.06
TR-05,596.53,3.25
TR-05,711.56,2.02
TR-05,891.41,7.48
TR-05,652.89,2.86
TR-05,771.01,5.86
TR-03,955.25,3.41
TR-05,587.62,2.39
TR-05,941.83,4.7
TR-01,157.21,4.36
TR-01,118.35,2.25
TR-04,1423.0,3.41
TR-01,92.97,1.15
TR-01,315.07,1.85
TR-03,3753.7,1.1
TR-03,877.17,2.36
TR-05,938.02,2.01
TR-04,1027.8,4.08
TR-04,946.94,2.6
TR-03,2143.2,5.67
TR-02,3802.56,5.33
TR-02,1086.66,4.01
TR-04,959.67,5.03
TR-05,1040.02,2.13
TR-04,367.01,2.86
TR-02,1693.95,2.44
TR-03,626.13,3.47
TR-03,773.38,1.4
TR-03,2275.24,2.09
TR-04,278.09,4.49
TR-03,955.77,3.91
TR-01,223.11,2.83
TR-01,778.53,2.6
TR-01,671.08,3.28
TR-03,4043.28,6.0
TR-04,1233.88,5.25
TR-05,675.81,5.53
TR-04,777.87,2.8
TR-02,154.01,1.05
TR-01,1.41,5.3
TR-02,532.96,4.28
TR-01,152.97,3.6
TR-01,206.29,0.94
TR-01,714.81,1.25
TR-04,1771.52,2.33
TR-04,879.31,3.93
TR-01,373.91,1.79
TR-02,700.15,3.36
TR-01,997.8,4.16
TR-02,932.56,5.88
TR-05,955.33,7.52
TR-01,397.41,1.57
TR-04,1291.56,2.94
TR-02,1017.26,3.23
TR-02,160.99,5.93
TR-02,721.21,9.21
TR-02,3367.5,4.2
TR-04,873.34,3.3
TR-03,1516.83,1.81
TR-03,824.91,3.48
TR-03,485.51,1.8
TR-01,192.4,2.39
TR-01,728.56,3.1
TR-04,922.74,2.08
TR-01,1449.41,1.76
TR-02,1045.97,3.57
TR-02,1085.32,1.9
TR-04,1040.39,6.3
TR-05,828.74,2.2
TR-04,1386.61,2.66
TR-02,76.1,7.52
TR-05,388.38,4.73
TR-04,552.83,2.72
TR-03,986.76,7.3
TR-03,387.84,4.88
TR-01,0.66,1.99
TR-05,1037.4,5.05
TR-05,783.43,2.57
TR-04,903.58,3.53
TR-04,1133.04,2.49
TR-05,810.71,3.88
TR-01,782.29,2.6
TR-01,3297.88,1.74
TR-01,425.46,3.42
TR-04,1726.23,4.61
TR-03,176.04,9.2
TR-03,265.65,2.52
TR-02,680.39,4.27
TR-02,596.59,12.78
TR-03,731.46,4.33
TR-03,2201.96,2.02
TR-03,486.43,1.79
TR-01,90.71,1.89
TR-02,319.48,5.07
TR-05,922.41,3.17
TR-01,6135.71,2.36
TR-05,450.58,3.26
TR-05,575.98,3.7
TR-05,887.03,3.72
TR-04,949.31,4.04
TR-05,656.96,4.04
TR-03,229.35,1.63
TR-05,535.83,5.0
TR-04,1217.6,1.52
TR-04,739.93,4.15
TR-05,581.92,4.35
TR-04,889.56,5.71
TR-05,600.3,2.15
TR-01,684.89,3.86
TR-05,733.92,6.61
TR-01,5266.83,3.63
TR-01,357.34,3.92
TR-05,720.89,2.44
TR-04,304.6,4.21
TR-04,1654.45,3.69
TR-01,1985.49,1.76
TR-01,5113.68,5.55
TR-04,944.06,7.42
TR-02,1731.14,3.07
TR-02,1293.48,3.55
TR-04,813.0,2.47
TR-01,67.47,1.43
TR-03,395.3,4.83
TR-05,500.45,3.45
TR-03,803.7,10.85
TR-03,977.74,6.03
TR-04,1709.85,2.22
TR-02,608.59,4.05
TR-03,1929.71,3.42
TR-03,772.54,3.8
TR-05,421.52,3.62
TR-01,2883.26,1.05
TR-05,440.41,3.13
TR-01,564.85,0.93
TR-02,3607.74,3.25
TR-02,244.68,3.58
TR-03,611.91,3.23
TR-01,312.12,2.92
TR-03,1131.31,7.81
TR-05,892.18,2.32
TR-03,366.64,3.53
TR-01,4683.91,4.94
TR-04,796.13,0.81
TR-03,646.92,6.54
TR-04,915.28,3.53
TR-04,1246.46,2.22
TR-05,709.06,2.11
TR-03,2622.72,5.3
TR-05,633.82,2.68
TR-05,806.03,4.13
TR-04,725.87,5.55
TR-02,777.44,10.53
TR-05,678.18,4.11
TR-02,1054.05,2.25
TR-05,807.9,5.57
TR-04,1091.45,2.71
TR-03,1962.16,1.21
TR-02,4856.12,2.54
TR-03,614.14,4.71
TR-03,873.03,3.48
TR-02,123.78,4.39
TR-03,1214.03,2.98
TR-04,416.25,4.36
TR-05,958.05,4.63
TR-04,1116.64,1.45
TR-03,1139.39,2.44
TR-03,2028.92,2.24
TR-01,20.53,1.67
TR-05,798.36,3.24
TR-04,1071.53,1.66
TR-04,570.72,3.15
TR-05,619.58,4.65
TR-04,784.76,6.65
TR-04,1412.85,3.5
TR-04,700.36,4.07
TR-02,346.63,4.68
TR-05,570.74,2.22
TR-05,856.4,2.17
TR-04,1365.01,6.56
TR-02,483.0,1.52
TR-04,790.13,3.69
TR-05,927.66,3.06
