equipment_code,ttf_h,duree_rep_h
TR-03,884.09,2.66
TR-02,610.2,3.85
TR-02,272.95,2.45
TR-05,1598.63,2.8
TR-01,1996.53,3.3
TR-01,2126.68,2.9
TR-04,1104.5,3.36
TR-05,1355.04,3.59
TR-01,931.68,3.71
TR-05,1206.39,1.06
TR-02,473.47,2.61
TR-01,3043.86,4.39
TR-05,906.94,3.46
TR-05,1791.33,2.84
TR-01,994.77,5.48
TR-02,625.09,6.68
TR-02,1136.07,3.92
TR-02,558.33,5.41
TR-05,84.24,3.96
TR-01,185.59,3.86
TR-01,1797.38,6.47
TR-01,891.39,3.61
TR-03,586.2,7.2
TR-01,2001.34,1.15
TR-04,2259.03,13.05
TR-02,725.33,3.01
TR-01,711.06,3.77
TR-02,378.66,2.38
TR-05,1323.82,6.81
TR-01,2142.72,2.55
TR-03,2173.59,2.88
TR-05,761.47,1.51
TR-04,1011.52,6.42
TR-02,993.7,2.37
TR-05,1358.56,3.44
TR-03,1023.16,3.2
TR-04,2020.5,4.41
TR-05,1660.41,4.37
TR-05,338.53,5.98
TR-01,819.58,1.83
TR-02,812.04,4.23
TR-01,833.48,2.84
TR-03,251.69,3.81
TR-04,1455.89,3.49
TR-05,360.68,1.33
TR-05,1493.98,5.52
TR-01,421.61,1.92
TR-02,145.21,8.14
TR-02,746.2,2.22
TR-01,1596.14,2.41
TR-03,838.72,4.78
TR-01,705.88,7.19
TR-04,557.79,5.44
TR-04,1644.11,2.57
TR-02,1051.14,4.84
TR-01,1282.41,2.89
TR-03,883.84,3.76
TR-04,606.2,2.77
TR-03,1073.3,5.69
TR-04,537.36,2.51
TR-04,707.34,1.03
TR-01,628.26,5.31
TR-02,846.36,3.86
TR-02,443.74,3.74
TR-04,785.04,8.07
TR-04,1624.38,2.09
TR-01,766.75,5.04
TR-02,371.49,1.93
TR-02,939.75,2.08
TR-04,857.37,3.38
TR-03,530.9,0.79
TR-04,1009.5,3.65
TR-04,478.01,1.4
TR-04,215.19,8.83
TR-05,756.34,4.65
TR-04,447.16,3.47
TR-01,546.43,4.21
TR-03,885.45,3.75
TR-05,878.72,4.8
TR-02,1088.58,5.15
TR-02,719.77,3.79
TR-01,3118.0,4.08
TR-04,706.77,3.35
TR-03,1232.42,10.36
TR-04,853.98,1.91
TR-02,357.92,4.1
TR-05,856.09,4.05
TR-03,1512.69,2.45
TR-05,930.16,1.83
TR-05,2551.94,5.23
TR-01,2597.73,3.45
TR-04,524.0,4.22
TR-04,901.33,5.35
TR-04,53.83,4.04
TR-01,1077.15,5.31
TR-02,679.92,1.12
TR-04,924.81,1.85
TR-03,1130.12,5.52
TR-03,607.7,7.8
TR-05,759.7,5.11
TR-01,2707.68,2.5
TR-01,771.48,1.58
TR-02,929.92,3.56
TR-04,1159.61,5.71
TR-04,188.23,2.2
TR-01,2185.54,1.02
TR-04,1166.87,6.46
TR-04,2108.46,2.31
TR-01,1379.91,2.4
TR-05,1279.61,2.24
TR-04,1202.88,3.09
TR-04,63.14,3.7
TR-05,140.51,4.24
TR-04,1349.21,3.72
TR-03,1032.7,2.66
TR-02,712.07,2.55
TR-03,1688.83,4.27
TR-05,2612.27,2.48
TR-01,537.98,2.63
TR-01,344.46,2.85
TR-03,982.06,3.23
TR-01,1225.59,2.95
TR-01,1846.0,4.32
TR-05,1626.37,1.66
TR-01,241.15,2.02
TR-02,1553.21,3.47
TR-04,1132.68,3.77
TR-04,1035.99,6.79
TR-04,722.5,3.59
TR-05,781.56,1.88
TR-02,1248.61,1.2
TR-01,1470.92,3.28
TR-04,404.5,1.38
TR-04,985.93,4.91
TR-02,758.26,2.82
TR-03,1655.91,2.7
TR-03,894.2,2.95
TR-04,1089.16,2.22
TR-03,1568.42,5.26
TR-03,1240.38,5.16
TR-01,572.92,1.55
TR-02,447.67,2.72
TR-01,874.58,5.57
TR-02,917.14,1.93
TR-03,963.61,5.03
TR-02,950.87,7.19
TR-02,348.14,7.52
TR-04,1001.17,4.56
TR-02,1149.69,3.04
TR-02,398.01,3.52
TR-01,3460.23,1.6
TR-04,476.46,4.76
TR-03,1037.28,3.69
TR-01,281.06,2.65
TR-04,1073.24,4.84
TR-01,406.9,4.36
TR-01,225.54,4.59
TR-01,2146.83,4.16
TR-02,1066.33,3.02
TR-02,506.3,2.3
TR-02,740.24,1.82
TR-04,507.1,4.71
TR-05,1085.66,3.6
TR-01,2432.28,5.47
TR-01,2030.5,3.54
TR-04,808.09,4.91
TR-02,522.14,1.79
TR-03,1369.73,6.17
TR-04,284.62,8.06
TR-04,462.05,3.9
TR-05,1482.2,7.24
TR-03,622.02,3.12
TR-01,661.2,1.09
TR-02,346.42,1.98
TR-01,427.43,4.02
TR-03,798.29,5.18
TR-03,1164.78,2.61
TR-01,349.1,1.15
TR-01,3960.82,2.16
TR-01,2189.09,2.07
TR-01,260.94,4.76
TR-05,570.28,1.42
TR-04,425.64,2.57
TR-03,1136.81,6.94
TR-05,875.46,1.43
TR-03,897.68,7.79
TR-03,749.48,5.45
TR-05,741.02,8.49
TR-02,325.21,4.14
TR-05,1824.73,2.83
TR-02,489.22,2.99
TR-05,2793.27,4.63
TR-05,887.56,3.1
TR-02,483.98,5.13
TR-02,198.18,3.3
TR-01,690.79,4.49
TR-02,750.4,3.77
TR-03,2193.25,5.31
TR-02,287.86,2.81
TR-02,377.48,2.07
TR-01,725.61,3.16
TR-04,1175.49,3.81
TR-03,1731.09,7.54
TR-04,1640.56,4.01
TR-05,1289.26,5.37
TR-04,159.91,4.52
TR-04,1120.85,7.52
TR-04,208.29,4.08
TR-04,936.99,5.27
TR-04,753.95,4.36
TR-04,1768.63,7.29
TR-03,612.73,8.99
TR-03,718.86,2.3
TR-02,1027.13,2.7
TR-05,1075.65,4.22
TR-03,1477.21,3.2
TR-02,662.15,6.06
TR-03,1297.19,5.69
TR-05,1334.27,3.04
TR-05,617.46,3.17
TR-05,371.83,5.22
TR-01,393.3,6.44
TR-01,1055.52,3.51
TR-03,635.05,3.53
TR-02,520.83,4.61
TR-02,856.14,2.08
TR-02,416.08,3.35
TR-05,1101.92,2.67
TR-05,1765.82,7.11
TR-03,1052.26,4.14
TR-04,1547.64,3.31
TR-03,608.8,4.69
TR-02,211.54,3.14
TR-03,627.39,5.4
TR-03,1760.95,5.93
TR-03,1152.39,2.57
TR-02,966.04,4.53
TR-03,707.01,4.57
TR-01,175.11,1.45
TR-05,431.76,4.12
TR-05,735.24,2.18
TR-03,441.26,4.49
TR-04,242.58,2.81
TR-02,692.34,1.48
TR-02,478.93,1.68
TR-03,1467.73,5.52
TR-05,231.36,4.9
TR-05,362.09,2.45
TR-02,546.15,2.54
TR-01,1506.88,4.37
TR-01,1688.28,1.99
TR-02,583.44,2.3
TR-04,1369.33,2.85
TR-02,642.16,3.23
TR-03,1429.88,4.98
TR-02,689.58,2.98
TR-05,3008.2,4.04
TR-04,1197.39,3.25
TR-01,1222.47,1.26
TR-02,684.74,3.47
TR-02,1196.51,5.96
TR-03,1780.97,6.46
TR-05,1779.06,9.67
TR-01,573.03,9.12
TR-01,951.07,2.46
TR-05,726.32,3.23
TR-01,1564.03,2.64
TR-01,1708.02,1.77
TR-01,1940.03,1.77
TR-02,610.98,1.95
TR-02,446.03,6.4
TR-03,845.46,2.15
TR-03,523.22,7.95
TR-02,191.91,3.58
TR-05,324.19,2.03
TR-02,646.32,2.88
TR-05,1563.45,4.11
TR-04,284.95,10.49
TR-03,1192.07,7.03
TR-05,267.55,5.18
TR-01,853.69,5.15
TR-05,1243.28,8.74
TR-05,1875.63,3.55
TR-05,799.61,2.17
TR-01,862.78,3.52
TR-04,1343.23,2.05
TR-02,629.13,7.17
TR-01,57.55,2.29
TR-04,810.98,3.1
TR-04,796.65,3.91
TR-05,1132.32,1.13
TR-05,530.39,4.88
TR-05,1259.71,6.43
TR-04,653.3,2.81
TR-01,1260.97,2.92
TR-05,446.02,5.19
TR-01,1472.86,4.31
TR-05,546.37,6.53
TR-03,2365.02,3.13
TR-04,398.16,1.89
TR-02,476.52,8.69
TR-03,1409.68,3.39
TR-03,2370.6,6.39
TR-01,658.17,6.83
TR-03,1105.8,2.57
TR-04,980.72,4.02
TR-05,401.88,4.15
TR-04,2252.83,13.63
TR-03,414.2,1.83
TR-05,1909.88,1.95
TR-04,166.74,2.39
TR-03,134.81,5.58
TR-02,413.06,5.86
TR-02,991.06,2.83
TR-03,626.42,5.44
TR-05,1251.19,3.11
TR-03,364.3,4.04
TR-04,516.55,2.41
TR-01,480.58,2.3
TR-05,404.68,3.55
TR-03,604.32,4.09
TR-05,1490.03,3.71
TR-05,1044.82,3.67
TR-03,1581.61,4.5
TR-01,194.21,1.98
TR-03,1680.04,4.46
TR-05,844.59,3.89
TR-05,478.87,11.12
TR-05,1117.38,5.5
TR-02,1259.46,2.43
TR-03,644.73,6.8
TR-01,888.47,3.13
TR-02,597.54,4.56
TR-01,1728.15,3.83
TR-03,792.94,11.01
TR-02,902.18,3.71
TR-03,663.0,2.81
TR-05,973.12,3.1
TR-01,1076.23,5.35
TR-01,3319.61,3.38
TR-01,2613.49,2.08
TR-04,1286.0,6.93
TR-02,777.14,2.21
TR-05,970.85,13.56
TR-02,994.73,3.42
TR-02,780.62,3.42
TR-01,723.87,2.02
TR-04,778.39,2.55
TR-02,1330.85,11.52
TR-04,1390.8,3.86
TR-04,2179.53,4.12
TR-02,1083.47,4.01
TR-02,1102.67,0.99
TR-05,1242.57,4.94
TR-02,290.67,2.87
TR-03,770.37,3.77
TR-04,726.39,5.65
TR-04,281.63,3.74
TR-04,304.97,10.27
TR-03,907.27,3.47
TR-01,2269.69,2.25
TR-01,1453.15,3.93
TR-01,1242.57,1.53
TR-02,854.19,1.47
TR-03,1882.38,2.82
TR-01,356.31,2.0
TR-02,515.67,1.78
TR-04,607.09,4.84
TR-04,1905.91,3.44
TR-05,1418.12,5.95
TR-05,1188.75,2.69
TR-05,1199.84,1.17
TR-05,1131.07,6.59
TR-03,554.82,4.27
TR-01,1536.98,7.08
TR-05,1495.1,3.64
TR-04,2361.24,3.22
TR-05,1497.16,2.92
TR-05,1190.11,5.78
TR-02,1284.97,6.97
TR-04,129.37,5.48
TR-05,1759.47,5.92
TR-01,840.44,1.96
TR-02,667.62,4.17
TR-03,1335.48,6.58
TR-05,2277.34,1.58
TR-01,2827.6,3.21
TR-02,418.41,4.59
TR-05,1990.5,4.04
TR-05,1171.91,3.19
TR-04,419.12,5.94
TR-02,234.54,2.77
TR-03,719.18,6.12
TR-03,471.14,7.4
TR-04,1179.51,2.69
TR-02,746.33,3.84
TR-01,834.98,4.78
TR-01,2463.12,2.23
TR-01,601.26,1.4
TR-02,1418.55,1.38
TR-04,1225.06,4.43
TR-01,116.14,2.81
TR-03,1048.68,6.66
TR-05,1372.17,2.97
TR-03,674.13,1.98
TR-03,748.99,15.55
TR-01,3376.26,2.25
TR-04,505.92,3.39
TR-01,517.37,1.47
TR-01,942.42,4.54
TR-02,598.66,3.0
TR-02,1667.75,2.21
TR-01,1495.7,2.88
TR-02,585.66,2.14
TR-04,847.62,4.92
TR-01,593.34,4.36
TR-05,553.64,3.73
TR-05,1200.26,6.8
TR-05,676.63,2.38
TR-01,3453.48,1.74
TR-05,3205.89,2.89
TR-05,1499.83,2.13
TR-04,888.86,2.17
TR-03,421.85,3.62
TR-03,922.48,8.7
TR-03,704.95,3.03
TR-01,1335.37,1.33
TR-03,683.74,2.92
TR-02,1671.71,5.38
TR-05,392.96,2.88
TR-02,201.8,5.12
TR-03,599.28,4.63
TR-04,670.17,4.96
TR-02,649.54,4.08
TR-04,141.88,1.5
TR-03,2022.26,8.73
TR-03,1352.2,3.55
TR-03,471.26,5.53
TR-05,1229.93,3.26
TR-02,688.03,4.87
TR-05,1395.15,2.76
TR-04,1650.8,3.42
TR-02,808.81,1.85
TR-05,1430.8,8.67
TR-02,848.42,4.7
TR-01,948.11,3.69
TR-04,915.71,4.72
TR-03,1220.53,5.09
TR-02,407.45,1.77
TR-01,333.1,4.61
TR-03,1360.33,5.91
TR-01,3500.39,5.83
TR-03,968.87,3.95
TR-04,1150.39,2.35
TR-04,1065.83,5.99
TR-04,2202.94,11.97
TR-04,1450.08,2.64
TR-02,1233.18,1.5
TR-05,354.56,6.33
TR-05,518.95,3.9
TR-05,1736.59,3.81
TR-03,1606.88,4.41
TR-05,2145.63,2.74
TR-02,1415.91,2.28
TR-03,1055.32,2.41
TR-04,1046.41,4.11
TR-03,1977.69,2.83
TR-02,1248.67,7.29
TR-01,1637.55,5.56
TR-05,2289.21,2.45
TR-05,1530.69,3.2
TR-04,1679.76,4.79
TR-04,2257.89,8.47
TR-04,841.01,8.66
TR-03,1619.49,4.07
TR-02,635.66,4.31
TR-04,1641.83,4.96
TR-01,794.62,5.16
TR-01,1264.05,0.99
TR-03,1497.44,7.77
TR-05,801.43,3.8
TR-03,2522.11,19.9
TR-01,2974.01,2.27
TR-02,337.1,7.81
TR-04,688.26,2.76
TR-01,1587.51,2.92
TR-03,683.51,1.93
TR-05,1654.05,1.92
TR-04,740.75,3.88
TR-02,902.32,4.02
TR-04,647.42,2.03
TR-04,1247.89,3.98
TR-03,1311.44,5.82
TR-01,422.26,2.21
TR-02,1313.29,2.96
TR-05,106.36,2.73
TR-03,2434.4,4.03
TR-03,623.01,3.51
TR-04,631.05,8.68
TR-01,912.47,2.95
TR-01,1230.26,2.06
TR-03,435.91,8.76
TR-04,1161.14,4.56
TR-03,2024.07,7.92
TR-04,241.98,6.03
TR-01,3908.32,2.84
TR-05,1615.01,4.51
TR-05,846.51,3.61
TR-01,2255.91,4.14
TR-02,327.34,10.55
TR-01,152.73,3.4
TR-02,518.03,2.32
TR-05,1276.78,7.41
TR-04,1050.45,11.03
TR-03,1217.68,6.58
TR-05,1174.25,4.78
TR-04,494.45,2.57
TR-03,717.72,11.18
TR-05,522.69,3.7
TR-03,2870.81,5.87
TR-05,1078.67,5.15
TR-02,923.68,0.88
TR-01,306.08,3.01
TR-04,697.69,4.67
TR-01,412.68,1.49
TR-02,1434.85,4.99
TR-05,480.31,1.26
TR-01,685.58,2.26
TR-05,1041.29,2.85
TR-03,778.1,3.29
TR-05,1573.42,4.19
TR-03,1292.48,7.75
TR-03,1161.03,6.16
TR-04,1701.95,6.17
TR-03,346.9,7.32
TR-02,1087.17,2.05
TR-04,2073.26,4.91
TR-05,1504.42,4.91
TR-02,818.91,4.33
TR-02,424.88,1.48
TR-04,633.6,1.4
TR-01,1212.71,3.21
TR-05,775.76,2.3
TR-02,495.15,3.58
TR-01,2653.57,5.32
TR-03,1294.76,6.74
TR-02,603.06,3.34
TR-02,819.46,2.73
TR-04,1287.01,2.47
TR-01,1174.32,1.22
TR-04,611.78,2.94
TR-04,360.27,1.93
TR-05,1619.37,5.87
TR-04,750.41,3.19
TR-03,686.24,1.99
TR-02,815.16,5.24
TR-04,2076.63,4.13
TR-01,207.23,4.14
TR-03,1703.08,3.91
TR-05,1099.18,2.72
TR-01,1961.95,4.53
TR-02,757.77,6.32
TR-02,873.86,2.91
TR-02,354.87,4.01
TR-01,66.64,3.97
TR-04,729.61,3.23
TR-04,1051.53,7.95
TR-01,1138.84,11.06
TR-04,1514.72,3.82
TR-04,1641.37,3.57
TR-02,846.55,2.96
TR-05,1509.73,2.02
TR-03,1126.08,3.69
TR-04,1759.77,3.01
TR-02,335.91,1.93
TR-01,1268.97,2.77
TR-01,2560.84,2.37
TR-01,471.5,3.06
TR-01,1293.28,3.03
TR-03,646.27,4.23
TR-02,1173.83,3.3
TR-05,1268.4,1.15
TR-04,403.61,5.69
TR-02,279.58,8.55
TR-05,1699.06,2.95
TR-01,1456.99,1.74
TR-03,1534.39,5.9
TR-01,1644.77,1.88
TR-03,233.8,6.48
TR-04,405.11,3.13
TR-03,1345.9,7.43
TR-05,1559.97,2.56
TR-03,1708.42,5.0
TR-05,897.84,5.37
TR-03,1133.31,4.93
TR-02,310.49,5.73
TR-01,2177.7,2.93
TR-03,888.96,7.41
TR-03,991.67,4.12
TR-04,553.75,2.37
TR-03,1838.11,5.74
TR-04,1561.04,4.63
TR-04,861.73,6.05
TR-04,928.5,1.79
TR-02,831.83,1.62
TR-02,212.04,4.51
TR-02,580.97,1.45
TR-05,1014.32,3.36
TR-03,1295.23,5.99
TR-02,361.07,3.18
TR-03,1427.67,2.91
TR-05,1205.9,3.53
TR-02,897.68,2.74
TR-01,1781.0,1.75
TR-02,403.22,8.15
TR-01,812.64,4.37
TR-01,2561.68,2.26
TR-05,1026.91,6.28
TR-03,552.74,4.04
TR-03,961.08,5.78
TR-04,1243.88,2.77
TR-02,514.46,2.16
TR-03,1723.74,2.07
TR-03,1989.53,2.7
TR-02,1623.52,2.58
TR-05,2165.56,6.13
TR-04,1542.29,4.29
TR-03,1985.51,7.27
TR-02,1178.49,1.22
TR-05,986.0,5.22
TR-03,1496.45,6.51
TR-05,1216.86,5.08
TR-02,318.31,1.2
TR-02,2238.97,1.33
TR-02,786.07,3.51
TR-01,895.61,3.73
TR-02,1003.79,2.63
TR-02,388.17,1.56
TR-03,243.96,2.29
TR-04,1443.09,9.35
TR-03,534.54,11.01
TR-05,2142.29,10.14
TR-01,648.93,2.67
TR-01,1500.93,1.15
TR-05,261.19,4.21
TR-05,620.85,2.86
TR-04,2550.7,4.03
TR-04,1039.02,1.79
TR-05,2120.97,4.6
TR-04,1450.94,2.31
TR-01,1777.18,1.8
TR-05,1323.62,7.04
TR-02,1350.96,2.51
TR-01,1104.28,2.18
