equipment_code,heures_fonct
TR-02,16215.0
TR-02,19986.4
TR-02,20660.2
TR-02,20732.1
TR-02,20790.4
TR-02,21471.8
TR-02,21741.7
TR-02,21786.8
TR-02,23539.3
TR-02,24370.8
TR-02,24863.1
TR-02,27579.1
TR-02,27777.2
TR-02,31342.0
TR-02,31879.7
TR-02,34478.8
TR-02,35678.0
TR-02,37805.1
TR-02,42390.1
TR-02,42880.9
TR-02,46574.0
TR-02,47258.5
TR-02,47934.8
TR-02,48522.4
TR-02,49552.8
TR-02,49813.0
TR-02,50875.6
TR-02,51906.7
TR-02,53685.4
TR-02,55856.8
TR-02,56648.4
TR-02,57164.6
TR-02,57603.4
TR-02,57930.8
TR-02,58033.8
TR-02,58625.3
TR-02,59083.4
TR-02,62924.9
TR-02,63998.0
TR-02,64598.8
TR-02,65733.9
TR-02,65969.6
TR-02,66769.1
TR-02,68038.3
TR-02,68939.5
TR-02,69649.1
TR-02,75170.6
TR-02,77695.4
TR-02,78955.8
TR-02,80060.4
TR-02,81312.5
TR-02,81651.2
TR-02,82347.1
TR-02,82419.8
TR-02,83290.0
TR-02,84324.6
TR-02,84708.4
TR-02,88480.2
TR-02,91299.8
TR-02,92906.2
TR-02,93916.1
TR-02,96352.4
TR-02,96574.2
TR-02,98494.1
TR-02,98706.3
TR-02,100645.8
TR-02,101113.8
TR-02,103610.3
TR-02,106930.3
TR-02,107181.7
TR-02,108022.6
TR-02,112435.3
TR-02,113323.7
TR-02,115708.5
TR-02,116866.8
TR-02,117522.7
TR-02,118008.7
TR-02,118350.7
TR-02,120128.8
TR-02,120807.3
TR-02,121762.1
TR-02,122671.4
TR-02,123797.6
TR-02,126198.4
TR-02,130598.2
TR-03,1822.6
TR-03,3066.9
TR-03,6245.4
TR-03,6719.2
TR-03,7013.6
TR-03,9253.3
TR-03,10193.8
TR-03,12394.0
TR-03,14890.2
TR-03,15083.3
TR-03,17509.6
TR-03,18469.4
TR-03,19564.7
TR-03,20946.1
TR-03,23736.5
TR-03,23817.3
TR-03,24838.2
TR-03,26396.4
TR-03,28067.8
TR-03,29641.0
TR-03,29986.4
TR-03,30648.7
TR-03,31426.2
TR-03,33414.9
TR-03,34037.8
TR-03,34531.2
TR-03,37733.5
TR-03,37779.7
TR-03,42948.9
TR-03,44473.7
TR-03,46576.6
TR-03,47229.8
TR-03,47295.2
TR-03,49019.2
TR-03,51151.0
TR-03,52884.3
TR-03,53246.4
TR-03,55026.9
TR-03,56866.6
TR-03,58337.5
TR-03,60166.3
TR-03,62360.8
TR-03,63707.4
TR-03,63958.4
TR-03,65002.9
TR-03,65230.1
TR-03,66105.4
TR-03,66979.7
TR-03,67180.9
TR-03,67939.0
TR-03,68236.9
TR-03,70242.9
TR-03,73292.5
TR-03,73507.9
TR-03,76671.0
TR-03,77794.0
TR-03,78456.6
TR-03,78682.1
TR-03,79755.4
TR-03,81700.4
TR-03,83320.0
TR-03,83484.2
TR-03,83700.9
TR-03,84566.6
TR-03,85221.1
TR-03,85755.8
TR-03,86382.9
TR-03,88367.4
TR-03,91188.1
TR-03,92058.4
TR-03,94658.5
TR-03,95363.4
TR-03,96383.4
TR-03,96905.9
TR-03,98325.5
TR-03,102029.5
TR-03,103349.7
TR-03,104125.4
TR-03,105565.6
TR-03,105887.9
TR-03,108351.3
TR-03,109430.0
TR-03,110392.0
TR-03,111667.0
TR-03,113043.6
TR-03,113257.8
TR-03,114800.2
TR-03,115353.0
TR-03,116995.2
TR-03,119068.6
TR-03,121055.2
TR-03,122248.3
TR-03,123365.8
TR-03,123727.9
TR-03,125593.2
TR-03,126202.0
TR-03,127266.5
TR-03,127899.9
TR-03,128244.1
TR-03,129633.6
TR-04,579.4
TR-04,580.4
TR-04,1585.9
TR-04,1679.5
TR-04,2179.5
TR-04,3795.0
TR-04,3916.8
TR-04,6209.6
TR-04,6219.7
TR-04,6665.3
TR-04,8422.3
TR-04,8999.1
TR-04,9189.1
TR-04,9853.6
TR-04,10342.8
TR-04,12659.0
TR-04,13230.1
TR-04,15219.4
TR-04,17943.2
TR-04,18765.0
TR-04,21684.7
TR-04,22384.4
TR-04,26263.6
TR-04,26431.8
TR-04,27970.8
TR-04,28933.2
TR-04,29654.7
TR-04,31005.8
TR-04,32609.0
TR-04,32620.4
TR-04,32923.3
TR-04,34562.9
TR-04,36027.3
TR-04,39964.2
TR-04,41813.3
TR-04,45367.6
TR-04,46965.7
TR-04,47507.3
TR-04,47703.3
TR-04,49655.3
TR-04,51043.8
TR-04,51139.8
TR-04,51803.9
TR-04,55493.4
TR-04,56472.1
TR-04,57291.4
TR-04,58167.7
TR-04,58544.7
TR-04,59226.6
TR-04,59910.8
TR-04,60014.2
TR-04,61894.7
TR-04,62678.2
TR-04,64858.8
TR-04,67229.6
TR-04,67612.2
TR-04,69045.2
TR-04,69955.7
TR-04,72568.5
TR-04,72957.8
TR-04,74463.0
TR-04,75735.8
TR-04,76272.2
TR-04,76522.2
TR-04,77935.9
TR-04,79682.7
TR-04,80258.2
TR-04,81649.0
TR-04,82386.3
TR-04,84026.6
TR-04,84386.3
TR-04,87093.8
TR-04,87615.0
TR-04,88295.0
TR-04,88408.7
TR-04,88615.3
TR-04,89632.9
TR-04,90116.9
TR-04,92383.6
TR-04,92416.8
TR-04,93120.3
TR-04,93738.6
TR-04,93781.1
TR-04,94010.0
TR-04,94787.2
TR-04,95747.3
TR-04,96504.2
TR-04,97560.7
TR-04,98795.6
TR-04,98819.1
TR-04,99710.3
TR-04,103573.1
TR-04,104598.7
TR-04,106102.9
TR-04,106671.2
TR-04,108583.3
TR-04,110490.2
TR-04,111521.6
TR-04,115811.7
TR-04,116042.7
TR-05,2132.2
TR-05,2346.7
TR-05,2820.0
TR-05,2856.2
TR-05,3382.1
TR-05,5324.1
TR-05,6350.1
TR-05,6984.8
TR-05,7668.7
TR-05,7672.2
TR-05,8210.8
TR-05,9621.5
TR-05,13993.6
TR-05,16394.2
TR-05,16441.5
TR-05,19309.3
TR-05,21304.6
TR-05,23284.7
TR-05,24161.1
TR-05,24901.2
TR-05,25445.8
TR-05,25567.1
TR-05,25971.4
TR-05,26409.3
TR-05,27348.9
TR-05,29164.1
TR-05,30078.5
TR-05,30186.3
TR-05,34025.6
TR-05,37530.2
TR-05,39536.3
TR-05,45065.1
TR-05,46162.3
TR-05,50138.3
TR-05,50276.6
TR-05,50947.7
TR-05,51346.8
TR-05,51692.8
TR-05,51942.7
TR-05,53272.8
TR-05,55258.0
TR-05,56451.6
TR-05,56712.1
TR-05,58868.6
TR-05,60243.5
TR-05,60962.3
TR-05,62472.1
TR-05,62934.7
TR-05,63563.5
TR-05,66663.0
TR-05,67183.6
TR-05,68088.8
TR-05,70866.5
TR-05,72507.4
TR-05,72622.7
TR-05,72883.8
TR-05,72901.3
TR-05,74259.4
TR-05,75111.5
TR-05,75350.2
TR-05,79193.2
TR-05,80250.2
TR-05,80679.4
TR-05,81660.5
TR-05,83190.9
TR-05,83330.3
TR-05,83820.7
TR-05,85951.8
TR-05,86832.2
TR-05,87935.2
TR-05,88753.0
TR-05,88836.5
TR-05,89129.7
TR-05,89976.8
TR-05,90346.7
TR-05,90440.8
TR-05,92816.0
TR-05,97526.8
TR-05,99577.1
TR-05,102029.3
TR-05,102458.7
TR-05,106373.8
TR-05,106721.8
TR-05,110407.6
TR-05,116473.1
TR-05,118130.5
TR-05,122838.6
TR-05,124006.6
TR-05,124468.5
TR-05,125295.9
TR-05,126535.2
TR-05,126669.2
TR-05,127999.1
TR-05,132709.1
TR-05,133045.0
TR-05,135092.2
TR-05,138068.7
TR-05,141592.3
TR-05,145493.9
TR-05,146529.1
